title,original link,link,description,publication date,contents,label,base_url,source
군인권·변호인단 “박정훈 대령 기소는 ‘자충수’…국정조사해야”,http://www.edaily.co.kr/news/newspath.asp?newsid=02801126635771608,https://n.news.naver.com/mnews/article/018/0005592287?sid=102,단체는 국회에 진실 규명을 위해 국정조사 및 특검법 도입을 촉구하고 나섰다. 군인권센터·변호인단은 10일 오전 10시 서울 마포구의 군인권센터에서 공동기자회견을 열고 박 대령이 불구속 기소된 건과 관련해 입장을... ,"Tue, 10 Oct 2023 11:59:00 +0900","
군인권센터·변호인단 10일 공동기자회견지난 6일 불구속기소…“재판 시작 시 본질 명확해질 것”“국회, 진실 규명 위해 국정조사 및 특검법 응해야”[이데일리 황병서 기자] 군인권센터와 변호인단은 군검찰이 박정훈 해병대 대령을 불구속 기소한 것이 ‘기소권 남용’이라고 비판했다. 단체는 국회에 진실 규명을 위해 국정조사 및 특검법 도입을 촉구하고 나섰다.군인권센터·변호인단은 10일 오전 10시 서울 마포구의 군인권센터에서 공동기자회견을 열고 박 대령이 불구속 기소된 건과 관련해 입장을 밝혔다. 이날 회견에는 임태훈 군인권센터 소장을 비롯해 정관영·하주희·김정민 변호사가 참석했다. 



군인권센터·변호인단은 10일 오전 10시 서울 마포구의 군인권센터에서 공동기자회견을 열며 박 대령이 불구속 기소된 건과 관련해 입장을 밝혔다.(사진=황병서 기자)군인권센터는 국방부 군검찰이 박 대령을 불구속 기소한 것을 ‘자충수’라고 주장했다. 이들은 “재판이 시작되고 증인들의 증언과 각종 증거가 국민 앞에 공개되기 시작하면 사건의 본질은 더 명확해질 것”이라며 “국방부가 재판대에 세운 것은 박 대령이지만, 결국 법정에 심판받을 대상은 수사 외압의 장본인들이 될 것”이라고 밝혔다.앞서 해병대 채모 상병 순직 사건 수사 결과를 경찰에 이첩했다가 항명 혐의 등으로 입건됐던 해병대 전 수사단장 박정훈 대령이 지난 6일 불구속 상태로 재판에 넘겨졌다. 박 대령에게 적용된 혐의는 군형법상 항명 및 상관명예훼손 혐의다. 당시 검찰단은 박 대령의 혐의에 대해 “군의 위계질서를 무너뜨리고 사기를 저하하는 중대한 위법행위라 판단된다”며 “국방부 검찰단은 향후 적극적인 공소유지로 엄중한 처벌이 이뤄지도록 최선을 다하겠다”고 밝힌 바 있다.이어 이들은 진실규명을 위해 국회 등이 나서야 한다고 주장했다. 이들은 “이 사건은 대통령 개입 의혹까지 거론되는 등 심각한 권력형 게이트일 가능성이 크다”며 “국방부가 군사법원을 믿고 법 질서를 우롱하려는 모든 시도를 차단하고, 증인들이 법정에서 두려움 없이 사실을 증언할 수 있게 해야 한다”고 했다. 이어 “국정조사를 통해 진실을 국민 앞에 드러내 보호해줘야 한다”며 “국회는 5만명에 달하는 시민이 청원을 제출할 만큼 조속한 시일 내에 특별위원회를 구성하고 국정조사에 착수해야 한다”고 덧붙였다.아울러 이들은 “사건을 국방부와 부역한 경북경찰청 등에 맡겨둘 수 없다”면서 “특검법이 패스트트랙 안건으로 상정된 만큼 최대한 빨리 특검법을 도입하기 위해 노력해야 한다”고 말했다. 이어 “정부·여당 역시 채 상병 사건 진상 규명을 위한 조직적 방해를 중단하고 특검 도입과 국정조사에 적극 응해야 할 것”이라고 했다.변호인은 국방부 검찰단의 박 대령의 기소가 기소권 남용이라고 주장했다. 이들은 “군검찰이 무리하게 구속영장을 청구하고 아직 관련 수사 및 재판이 진행되고 있음에도 일방의 주장을 담은 ‘해병대 순직사고 조사 관련 논란에 대한 진실’이라는 문건을 국방부 차원에서 만들어 이를 유포할 때부터 이미 예견된 결과”라고 했다. 이들은 “국방부장관이 해병대 사령관에게 ‘이첩대상자를 축소하라’ 는 등의 불법적인 지시를 내렸다는 사실과 해병대 사령관이 여러 차례 이의를 제기했지만 받아들여지지 않았다는 사실 등이 확인됐음에도 불구하고 박 대령을 항명죄로 기소했다”며 “국방부 검찰단은 관계자들의 진술 및 자료조사, 압수수색, 휴대전화 포렌식을 통해 이러한 사정을 모두 알고 있음에도 어떠한 부정한 목적을 가지고 이렇게 박정훈 대령을 기소한 것에 대해, 이는 기소권 남용으로 볼 수밖에 없다”고 했다. 한편, 박 대령은 지난 7월 19일 집중호우로 실종자를 수색하던 중 급류에 휩쓸려 순직한 해병대 채 상병 관련 수사 결과를 7월 30일 이종섭 국방부 장관에게 보고했다. 이 장관은 수사 결과를 경찰에 이첩하지 말라고 지시했다. 그러나 박 대령은 8월 2일 수사 결과를 경북경찰청에 이첩했다. 이에 국방부 검찰단은 경찰로부터 사건 자료를 회수하고 박 대령을 ‘집단항명 수괴’ 혐의로 입건했다. 해병대 수사단장에서도 보직 해임했다. 이후 수사 과정에서 박 대령의 혐의는 ‘항명’과 이 장관에 대한 ‘상관명예훼손’으로 변경됐다.
",1,n.news.naver.com,naver
올해 과방위 국정감사 3대 키워드는 R&amp;D 예산·우주청·오염수…여야 공방 예...,https://biz.chosun.com/science-chosun/science/2023/10/10/J5PX2OW3IBHZDHPB5DBYG5DVOY/?utm_source=naver&utm_medium=original&utm_campaign=biz,https://n.news.naver.com/mnews/article/366/0000938135?sid=105,국회입법조사처도 ‘2023 국정감사 이슈 분석’을 통해 이같은 문제를 지적한 바 있다. 권성훈 국회입법조사처 입법조사관은 “기획재정부 장관이 과기부 장관에게 제출하는 국가 R&amp;D 예산 편성에 대한 심의를 차관급인... ,"Tue, 10 Oct 2023 16:14:00 +0900","
11일 과기정통부 시작으로 과학 분야 국정감사 돌입최대 이슈는 R&D 예산 삭감과 우주항공청 설립



장제원 국회 과방위 위원장이 10일 오전 서울 여의도 국회에서 열린 과학기술정보방송통신위원회의 방송통신위원회, 방송통신사무소, 방송통신심의위원회, 시청자미디어재단에 대한 국정감사에서 의사봉을 두드리고 있다. 이달 11일과 24일로 예정된 과학계 국감에서는 '국가 R&D 예산 삭감'과 '우주항공청 설치법'을 두고 여야간의 치열한 공방이 예상된다./뉴스1



        국정감사 시즌이 시작되면서 과학기술계의 눈길도 국회를 향하고 있다. 국회 과학기술정보방송통신위원회가 진행하는 국정감사는 방송통신위원회가 중심이 되고 과학 분야는 쉬어간다는 인식이 강했다. 하지만 올해는 윤석열 정부가 33년 만의 국가 연구개발(R&D) 예산 삭감에 나서면서 과학 분야 국정감사도 그 어느 때보다 치열하게 진행될 것으로 예상된다. 후쿠시마 오염수 방류가 본격화되면서 원자력안전위원회에 대한 국정감사도 가시밭길을 예고하고 있다.올해는 11일 과학기술정보통신부를 시작으로 과학 분야 국정감사가 시작된다. 12일에는 원안위에 대한 기관 감사가 예정돼 있고, 24일에는 한국연구재단과 정부출연연구기관에 대한 감사가 진행된다. 26일과 27일에는 각각 원안위와 과기정통부에 대한 종합 감사가 진행된다.올해 과학 분야 국정감사의 최대 이슈는 R&D 예산 삭감 사태다. 정부는 내년도 국가 R&D 예산으로 25조9000억원을 배정했다. 올해 31조1000억원보다 약 16.6% 삭감된 규모다. 일부 예산은 항목만 바뀌었다는 정부 설명대로라도 10%가 넘게 삭감됐다. 당초 국가 R&D 예산은 증액이 유력했지만 과학계를 카르텔로 지목하는 윤 대통령의 발언 이후 상황이 급변했다.예산 삭감이라는 초유의 사태를 맞은 과학계는 강하게 반발하며 예산 환원을 요구하고 있다. 과학기술계 노조들은 ‘국가 과학기술 바로 세우기 과학기술계 연대회의’를 결성하고 정부의 결정에 대해 “국가 미래 경쟁력을 저해하는 ‘국가 파행 행위’”라며 규탄하고 나섰다. 일부 과학계 원로들은 물론 국내 주요대학에 재학 중인 학생들도 R&D 예산 환원을 요구하는 목소리를 내고 있다.정치권에서도 R&D 예산을 두고 신경전이 이어지고 있다. 야당은 이번 국정감사를 통해서 R&D 예산 조정을 이끌어내는 것을 목표로 치열한 공세를 예고하고 있다.과방위 야당 간사인 조승래 더불어민주당 의원실 관계자는 “대통령이 카르텔로 언급하기 전만 해도 ‘국가 과학기술자문회의’에서는 예산 증액안을 준비하고 있었다”며 “이미 여러차례 이 문제를 지적했고, 당연히 이번 국감에서도 이 문제가 핵심이 될 것”이라고 강조했다.반면 여당인 국민의힘은 R&D 효율화와 구조조정이 필요한 만큼 예산 삭감이 불가피하다는 입장이다. 과방위 여당 간사인 박성중 국민의힘 의원은 지난달 9일 2022회계연도 결산심사를 위해 열린 과방위 전체회의에서 “선택과 집중을 통해 필요한 과학기술에 더 많은 예산을 주고 불필요한 부분은 줄여야 한다”고 강조했다. 예산안을 짠 과기정통부는 한 발 물러서 있다. 예산 증액 등 조정은 국회가 결정할 사안이라는 입장이다.과기정통부 과학기술혁신본부의 규모 축소와 존속 여부가 국정감사의 쟁점이 될 것이라는 전망도 나온다. 혁신본부는 국가 R&D 예산배분, 조정, 성과 평가를 전담하는 부서다. 차관급 위상을 갖는 혁신본부가 다른 부처의 R&D에 대한 모든 권한을 갖고 있다는 점에서 실효성에 대한 우려가 꾸준히 제기됐다.국회입법조사처도 ‘2023 국정감사 이슈 분석’을 통해 이같은 문제를 지적한 바 있다. 권성훈 국회입법조사처 입법조사관은 “기획재정부 장관이 과기부 장관에게 제출하는 국가 R&D 예산 편성에 대한 심의를 차관급인 혁신본부장이 맡는다”며 “사안과 중요성을 고려할 때 위상과 절차가 맞는지 재검토할 필요가 있다”고 설명했다.윤 대통령의 공약인 우주항공청도 국정감사의 중요 이슈다. 여당과 정부는 당초 9월 중에 우주항공청 설치를 위한 특별법을 처리하려고 했지만 야당의 반대로 무산됐다. 현재 과방위에는 우주청 설립과 관련한 5개의 법안이 상정돼 있다. 여야의 이견이 여전하기 때문에 이번 국정감사에서 우주청 설립 방안이 계속해서 논란이 될 전망이다.우주청에 대해서는 국내 우주 분야의 연구자나 기업인들도 입장이 제각각이다. 우주항공 분야의 한 연구자는 “우주항공청은 앞으로 수십년 이상 국내 우주 개발을 이끌 기관인데 충분한 논의 없이 올해 안으로 개청한다는 목표만 있다”며 “우주항공청이 언제 문을 여냐보다는 국내 우주 개발을 어떤 철학으로 이끌어갈지가 중요하다”고 지적했다.반면 우주 분야의 한 기업 관계자는 “우주청이 언제, 어디에, 어떻게 설립하느냐가 중요한 게 아니라 우주청의 존재가 중요하다”며 “구체적인 부분은 설립 이후에 정하더라도 일단 우주청을 언제 발족할 지 명확하게 하는 게 중요하다”고 말했다.원안위 국정감사에서는 후쿠시마 오염수 방류를 놓고 여야가 충돌할 것으로 보인다. 일본 정부는 국정감사를 앞둔 지난 5일부터 오염수 2차 방류에 나섰다. 국정감사 기간과 겹치는 오는 23일까지 약 7800t의 오염수를 방류할 계획이다. 국내외 전문가들과 국제원자력기구(IAEA) 등이 오염수 방류에 문제가 없다는 입장을 밝히고 있지만, 야당이 계속해서 반대 입장을 내고 있어 이번 원안위 국정감사에서도 쟁점화에 나설 것으로 예상된다.
",1,n.news.naver.com,naver
'식민사관' 논란 전라도천년사 국정감사 채택…&quot;지금이라도 폐기해야&quot;,https://www.news1.kr/articles/5194413,https://n.news.naver.com/mnews/article/421/0007100143?sid=102,이어 &quot;국정감사 증인심문을 통해 행정절차 준수 여부와 권한 남용 여부 등 행정의 난맥상과 인사들의 문제 행위가 분명하게 드러날 것&quot;이라며 &quot;국정조사 채택은 우리 시민사회가 줄기차게 주장해 온 '전라도천년사'의... ,"Tue, 10 Oct 2023 15:49:00 +0900","
바른역사시민연대 등 ""행정난맥상 드러날 것""



바른역사시민연대 등 광주·전남·전북 35개 시민단체가 10일 오후 광주시의회 시민소통실에서 기자회견을 열고 '전라도천년사' 폐기를 촉구하고 있다. 2023.10.10/뉴스1 ⓒ News1 이승현 기자(광주=뉴스1) 이승현 기자 박지현 수습기자 = '친일사관'과 '역사왜곡' 논란을 빚은 '전라도천년사'가 국회 국정감사 의제로 채택됐다. 광주·전남·전북 시민사회단체는 그동안 미봉책으로 일관한 전라도 3개 시·도와 편찬위원회 책임이라며 폐기를 촉구했다.바른역사시민연대를 비롯한 광주·전남·전북 35개 시민단체는 10일 오후 광주시의회 시민소통실에서 기자회견을 열고 ""'전라도천년사' 집필진 책임자가 국회 국정감사 증인으로 채택된 것은 역사서가 국위를 손상시키고 국민의 신뢰를 잃었다는 것을 의미한다""고 밝혔다. 시민연대는 ""그동안 시민사회는 전라도천년사 발행과 관련해 부당한 절차, 내용에 대해 수 없이 문제를 제기해왔다""며 ""그러나 전라도 3개 시도와 편찬위원회는 꼼수와 미봉책으로 일관해왔다""고 꼬집었다. 이어 ""국정감사 증인심문을 통해 행정절차 준수 여부와 권한 남용 여부 등 행정의 난맥상과 인사들의 문제 행위가 분명하게 드러날 것""이라며 ""국정조사 채택은 우리 시민사회가 줄기차게 주장해 온 '전라도천년사'의 문제점과 폐기 주장이 정당성을 획득한 것""이라고 강조했다. 이들은 ""전라도 3개 시도는 지금이라도 폐기를 선언하고 올바른 전라도천년사 발간에 적극적 의지를 표명해야 한다""며 ""전라도천년사 편찬사업 전반에 대한 문제를 바로 잡기 위해 감사원 감사청구를 검토할 방침""이라고 밝혔다.  전라도천년사는 지난해 12월 발간 예정이었지만, 호남은 고조선 강역이 아니라는 것, 가야=임나 등 친일사관 역사왜곡 논란을 빚으며 발간이 연기됐다.국회 문화체육관광위원회는 12일 전라도천년사에 대한 국정감사를 진행한다.
		",1,n.news.naver.com,naver
‘尹 국정운영’ 긍정 37.7%·부정 59.9%…여야 지지도 소폭상승,https://www.kgnews.co.kr/news/article.html?no=765445,https://www.kgnews.co.kr/news/article.html?no=765445,리얼미터가 에너지경제신문 의뢰로 지난 4~6일 전국 18세 이상 1508명을 대상으로 실시한 설문조사에서 윤 대통령 국정수행 지지율은 지난 9월 4주 차 대비 1.7%p 오른 37.7%로 집계됐다. 반면 ‘국정수행을 잘못하고... ,"Mon, 09 Oct 2023 14:30:00 +0900",,1,www.kgnews.co.kr,kgnews
[짤막상식] '의정활동의 꽃' 국정감사란?,https://www.ytn.co.kr/_ln/0101_202310100536319259,https://n.news.naver.com/mnews/article/052/0001944976?sid=100,"&quot;국회는 국정을 감시하거나 특정한 국정 사안에 대하여 조사할 수 있다.&quot; 우리나라 헌법 61조에 규정하고 있다. 국정감사의 시기는 매년 30일 이내의 기간을 정하여 감사를 실시하고, 2023년 국정감사는 10월 10일(화)부터... ","Tue, 10 Oct 2023 05:36:00 +0900","
			'의정활동의 꽃' 국정감사란?국정감사란 국회가 행정부의 국정 전반에 관해 소관 상임위원회별로 행하는 감사 활동을 말한다.""국회는 국정을 감시하거나 특정한 국정 사안에 대하여 조사할 수 있다."" 우리나라 헌법 61조에 규정하고 있다.국정감사의 시기는 매년 30일 이내의 기간을 정하여 감사를 실시하고, 2023년 국정감사는 10월 10일(화)부터 27일(금)까지 18일간이다.지정한 기간 내에 1년 치를 몰아서 하는 기획형 국정감사고 국가기관, 지방자치단체, 공공기관 국회 본회의에서 의결한 기관 등이 포함된다.2023년도 국정감사 대상 기관은 791개 기관이다.국정감사는 국민이 부여한 권한으로 정부 견제와 정책 검증을 하는 중요한 활동이고, 올해는 제21대 국회의 마지막 국정감사다.#국회 #국정감사 #국감 #민생※ '당신의 제보가 뉴스가 됩니다'[카카오톡] YTN 검색해 채널 추가[전화] 02-398-8585[메일] social@ytn.co.kr
		",1,n.news.naver.com,naver
"尹대통령 국정수행, 긍정 37.6% 상승세…양당 지지율 ‘접전’ [쿠키뉴스 여론...",http://www.kukinews.com/newsView/kuk202310100149,http://www.kukinews.com/newsView/kuk202310100149,그래픽=이승렬 디자이너 윤석열 대통령의 국정수행평가 직전 조사에 비해 긍정 평가가 소폭 상승한 37.6%를 기록했다. 정당 지지도는 국민의힘과 더불어민주당이 오차범위 내 접전을 벌였다. 쿠키뉴스... ,"Wed, 11 Oct 2023 06:04:00 +0900",,0,www.kukinews.com,kukinews
[2023 국정감사] 국토위 국감 '서울~양평고속道' 충돌,http://www.newsprime.co.kr/news/article.html?no=614976,http://www.newsprime.co.kr/news/article.html?no=614976,자꾸 정쟁이라 하지 말고 이 자리에서 그동안 못했던 국정조사나 청문회 등을 대신한다 생각하고 이 부분 집중해야 한다&quot;라고 주장했다. 반면 여당 의원들은 문재인 정부 '부동산 통계 조작 문제'를 언급하면서 맞섰다.... ,"Tue, 10 Oct 2023 15:26:00 +0900",,1,www.newsprime.co.kr,newsprime
"[이슈] 21대 마지막 국정감사, 내일(10일) 개막.. 총선 앞두고 尹-文 정부 대...",https://www.polinews.co.kr/news/articleView.html?idxno=621738,https://www.polinews.co.kr/news/articleView.html?idxno=621738,"홍 원내대표는 &quot;이러한 사안들을 우리 의원들께서 책임 있게, 그리고 근거를 갖고 따져나간다면 저는 자연스럽게 국민적 공감이나 여론이 우리가 추구하고자 하는 특검이나 국정조사에 대한 지지가 높아질 것으로 보고... ","Mon, 09 Oct 2023 20:07:00 +0900",,1,www.polinews.co.kr,polinews
국회 보건복지위원회 10월 10일~10월 27일 국정감사 진행…총 43개 기관 대상,https://medicalworldnews.co.kr/news/view.php?idx=1510957733,https://medicalworldnews.co.kr/news/view.php?idx=1510957733,"이번 국정감사 대상기관은 ▲위원회 선정 대상기관: 38개(국정감사 및 조사에 관한 법률 제7조제1호~제3호), ▲본회의 승인 대상기관: 5개(국정감사 및 조사에 관한 법률 제7조제4호) 등 총 43개이다. 감사반장은 신동근... ","Tue, 10 Oct 2023 18:40:00 +0900",,1,medicalworldnews.co.kr,co
한총리 &quot;여론조작방지 범부처TF' 구성하라&quot;…與 &quot;국정조사 별도 추진&quot;(종합),https://www.asiatoday.co.kr/view.php?key=20231004010000957,https://www.asiatoday.co.kr/view.php?key=20231004010000957,한덕수 국무총리가 '여론 왜곡 조작 방지 대책' 마련을 위한 범부처 TF를 구성하라고 지시한 데 이어 국민의힘이 &quot;국회 차원의 별도 국정조사가 필요하다&quot;는 입장을 낸 것이다. 한 총리는 4일 방송통신위원회의 긴급... ,"Wed, 04 Oct 2023 12:56:00 +0900","


방통위 긴급 현안보고서 ""中 응원 IP 대부분 우회접속""점점 커지는 다음 포털 중국 응원 논란
국무회의에서 발언하는 한덕수 국무총리<YONHAP NO-1707>0한덕수 국무총리가 4일 오전 서울 종로구 정부서울청사에서 열린 국무회의에 참석해 2년차를 맞은 윤석열 정부의 성과 창출을 위한 각 부처의 노력을 강조하는 발언을 하고 있다. /연합뉴스 정부·여당이 포털서비스 다음·카카오에 중국 응원 댓글 수천만건이 쏟아진 사태에 대해 진상조사와 대응책 마련에 나섰다. 한덕수 국무총리가 '여론 왜곡 조작 방지 대책' 마련을 위한 범부처 TF를 구성하라고 지시한 데 이어 국민의힘이 ""국회 차원의 별도 국정조사가 필요하다""는 입장을 낸 것이다. 한 총리는 4일 방송통신위원회의 긴급 현안보고를 받고 '여론 왜곡 조작 방지 대책' 마련을 위한 범부처 TF를 시급히 구성하라고 지시했다. 범부처 TF는 방통위를 중심으로 법무부, 과학기술정보통신부, 문화체육관광부 등 유관부처가 참여한다. 지난 1일 열린 항저우 아시안게임 남자축구 한국과 중국의 8강전 당시 다음 응원 페이지에서는 중국팀을 클릭해 응원한 비율이 한때 전체의 91%에 달해 논란이 일었던 데 대해 정부 차원의 진상 조사에 나선 것이다.방통위는 이날 긴급 현안보고에서 지난 1일 다음·카카오 응원 서비스에 뜬 응원클릭 약 3130만건(확인 IP 2294만건)을 긴급 분석한 결과, 해외 세력이 가상망인 VPN을 악용해 국내 네티즌인 것처럼 우회접속하는 수법과 컴퓨터가 같은 작업을 자동 반복하게 하는 매크로 조작 수법을 활용해 중국을 응원하는 댓글을 대량 생성한 것을 확인했다고 밝혔다. 특히 다음·카카오 응원 서비스에 게재된 댓글 가운데 약 50%는 네덜란드를, 약 30%는 일본을 경유해 국내 서비스에 들어온 것으로 나타났다. 한 총리는 ""가짜 뉴스는 민주주의의 근간을 뒤흔드는 심각한 사회적 재앙""이라면서 ""과거 드루킹 사건과 같은 일이 재발하지 않도록, 범부처 TF를 신속하게 꾸려서 가짜 뉴스 방지 의무를 포함한 입법 대책과 재발 방지 대책을 마련하라""고 지시했다. 국민의힘도 다음 응원 페이지의 여론조작 의혹에 대해 ""총선 6개월을 앞두고 드루킹 시즌2로 번질 수도 있는 중대한 사안""이라며 진상 규명을 촉구했다. ㅇㅇ0한덕수 국무총리가 4일 오전 서울 종로구 정부서울청사에서 열린 국무회의에 참석해 발언하고 있다. /연합뉴스김기현 대표는 이날 페이스북에 ""좌파 성향이 강한 포털사이트에서 이런 일이 벌어졌다는 점에서 내년 총선을 앞두고 또다시 여론조작의 망령이 되살아나고 있는 것은 아닌지 심각한 문제를 제기하지 않을 수 없다""며 ""여론조작 세력은 반드시 발본색원해 엄단해야 한다""고 남겼다. 유상범 수석대변인은 논평에서 ""지난 1일 치러진 아시안게임 '한중전'에 대한 클릭 응원 서비스를 지원했는데, 참여자의 92%가 한국이 아닌 중국을 응원하는 초유의 사태가 벌어졌다""며 ""중국과 북한의 온라인 여론 조작 시도가 가시화 된 것이 아니냐는 우려 섞인 목소리들이 쏟아지고 있다""고 했다.그러면서 ""국민적 의구심과 우려를 해소하기 위해서라도 검경 수사는 물론 방통위 등 관련부처의 제재, 국정조사 등 가용한 모든 수단을 동원해 진상을 규명하고 재발 방지 대책을 마련해야 한다""며 ""총선 6개월을 앞두고 다시 반복된 이번 사태는 국가안보에도 위협이 될 수 있는 '드루킹 시즌 2'로 번질 수 도 있는 중대한 사안이기 때문""이라고 주장했다. 유 수석대변인은 국회에서 기자들과 만나 ""총리실, 정부 차원의 범부처TF 발족 외에 별도로 국회 차원의 진상 파악을 위한 국정조사가 필요하다""며 ""포털에서 외국에 의해 여론이 움직인다는 것은 국가 안보에 있어서 치명적 부분이다. 야당에서도 적극적으로 협조해주시길 요청드린다""고 말했다. 유 수석 대변인이 활동 중인 국회 상임위원회인 정보위원회 소집 여부에 대해서는 ""민간 포털에서 운영하는 응원 메시지 서비스에서 벌어진 일이라, 국정원이 관여할 수 있는 지 좀 더 확인이 필요하다""면서도 ""국가 안보와 관련된 내용이라면 다룰 수 있을 것""이라고 설명했다. 







박지은
아시아투데이 정치부
 pje00516@gmail.com





ⓒ아시아투데이, 무단전재 및 재배포 금지

댓글



라이브리 댓글 작성을 위해 JavaScript를 활성화 해주세요




 















",1,www.asiatoday.co.kr,asiatoday
