title,original link,link,description,publication date,contents,label,base_url,source
강서구청장 보선 최종투표율 48.7%…지방선거보다 3%p 낮아(종합),https://www.yna.co.kr/view/AKR20231011167151001?input=1195m,https://n.news.naver.com/mnews/article/001/0014255969?sid=100,최근 재보선 투표율 대비 8%p 미달…오후 11시께 당선자 윤곽 가능성 고상민 최평천 기자 = 서울 강서구청장 보궐선거 최종 투표율이 48.7%로 잠정 집계됐다. 11일 중앙선거관리위원회에 따르면 강서구청장 보선에서... ,"Wed, 11 Oct 2023 21:10:00 +0900","
최근 재보선 투표율 대비 8%p 미달…오후 11시께 당선자 윤곽 가능성



강서구청장 보궐선거 투표일(서울=연합뉴스) 류영석 기자 = 강서구청장 보궐선거날인 11일 오전 서울 강서구 양천초등학교에 마련된 가양1동 제1투표소에서 유권자들이 투표를 하고 있다. 2023.10.11 ondol@yna.co.kr(서울=연합뉴스) 고상민 최평천 기자 = 서울 강서구청장 보궐선거 최종 투표율이 48.7%로 잠정 집계됐다.    11일 중앙선거관리위원회에 따르면 강서구청장 보선에서 전체 선거인 50만603명 중 총 24만3천665명이 투표했다. 본투표는 이날 오전 6시부터 오후 8시까지 진행됐다.    투표율은 지난 6∼7일 이뤄진 사전투표와 거소투표 투표율을 합산해 반영한 수치다.    이번 보선 사전투표율은 22.64%로 역대 지방선거와 재·보궐선거를 통틀어 가장 높았지만, 최종투표율은 최근 재·보궐선거에 미치지 못했다.    2021년 4·7 재보선 서울·부산시장 보선 투표율(56.8%)보다는 8.1%포인트(p), 지난 4월 5일 경남 창녕군수 보선 투표율(57.5%)보다는 8.8%p 낮았다.    지난해 6·1 지방선거와 비교하면 전국평균 50.9%보다 2.2%p, 강서구 51.7%보다 3.0%p 낮았다.    이번 보선은 전국에서 강서구 1곳에서만 이뤄졌다. 당선자는 이날 오후 11시께 윤곽이 드러날 것으로 예상된다.    사전투표 당시 여야가 각각의 지지층이 결집했다고 해석한 것을 고려하면 부동층이 본투표에 적극적으로 참여하지 않은 것 아니냐는 해석도 나온다.    앞서 여야는 본투표날인 이날에도 각 후보의 지지를 호소하며 투표를 독려했다.    국민의힘 유상범 수석대변인은 논평에서 ""'야당 대표 심부름꾼'을 자처하는 사람이 아닌, 강서구민을 위해 일할 진짜 '일꾼'을 뽑는 선거""라며 김태우 후보에게 표를 달라고 호소했다.    더불어민주당 홍익표 원내대표는 오전 최고위원회의에서 ""오늘 저녁 8시까지 투표소가 열려 있다. 오만한 권력에 경고를 보내 달라""며 진교훈 후보에 대한 투표를 당부했다.    pc@yna.co.kr
",1,n.news.naver.com,naver
강서구청장 보궐선거 투표율 48.7%‥기초단체장 재보선 '역대급',https://imnews.imbc.com/news/2023/society/article/6532503_36126.html,https://n.news.naver.com/mnews/article/214/0001304637?sid=102,"보궐선거 투표율이 최종 48.7%로 집계됐습니다. 앞서 본투표가 밤 8시 종료된 가운데, 선관위는 지난 주말 사전투표와 오늘 본투표를 합친 최종 투표율이 48.7%로 나타났다고 밝혔습니다. 지난해 지방선거 당시 강서구... ","Wed, 11 Oct 2023 20:37:00 +0900","














    오늘 진행된 서울 강서구청장 보궐선거 투표율이 최종 48.7%로 집계됐습니다.앞서 본투표가 밤 8시 종료된 가운데, 선관위는 지난 주말 사전투표와 오늘 본투표를 합친 최종 투표율이 48.7%로 나타났다고 밝혔습니다.지난해 지방선거 당시 강서구 투표율인 51.7%, 2년 전 서울시장 보궐선거 당시 강서구 투표율 56.4%에는 미치지 못했지만, 기초단체장 재보선으로서는 이례적으로 높은 투표율입니다.사전투표율만 놓고 보면 이번 선거에서 재보선 역대 최고치인 22.64%를 기록한 바 있는데, 본투표까지 반영한 최종 투표율은 2년 전 재보선보다 낮아졌습니다.이번 보궐선거는 강서구 유권자 50만 603명을 대상으로 투표소 131곳에서 실시됐습니다.국민의힘 김태우, 더불어민주당 진교훈 두 유력 후보 측은 이 같은 투표율이 어느 쪽에 유리하게 나타날지 촉각을 곤두세우고 개표 상황을 지켜보고 있습니다.양당 지도부도 선거 결과가 정치권에 가져올 파장이 적지 않을 것으로 보이는 만큼 개표 진행을 예의주시하고 있습니다.
",1,n.news.naver.com,naver
서울 강서구청장 보궐선거 최종 투표율 48.7%,https://www.donga.com/news/Politics/article/all/20231011/121622915/2,https://n.news.naver.com/mnews/article/020/0003524843?sid=100,서울 강서구청장 보궐선거 최종 투표율이 48.7%로 잠정 집계됐다. 11일 중앙선거관리위원회에 따르면 이날 오전 6시부터 진행한 투표에서 최종적으로 선거인 50만603명 중 24만3665명이 투표에 참여했다. 이는 지난 6~7일... ,"Wed, 11 Oct 2023 20:32:00 +0900","




서울 강서구청장 보궐선거 투표가 시작된 11일 오전 서울 강서구 양천초등학교에 마련된 가양1동 제1투표소에서 유권자들이 투표를 하고 있다. 2023.10.11/뉴스1서울 강서구청장 보궐선거 최종 투표율이 48.7%로 잠정 집계됐다. 11일 중앙선거관리위원회에 따르면 이날 오전 6시부터 진행한 투표에서 최종적으로 선거인 50만603명 중 24만3665명이 투표에 참여했다. 이는 지난 6~7일 실시된 사전투표(투표율 22.64%) 결과가 모두 반영된 수치다. 사전투표율은 역대 지방선거와 재·보궐선거를 통틀어 가장 높았지만, 최종 투표율은 최근 치러진 선거에 미치지 못했다. 직전 보궐선거인 2021년 4월 7일 서울시장 보궐선거 최종 투표율(58.2%)보다 9.5%포인트 낮고, 지난해 6월 1일 치러진 지방선거의 최종 투표율(50.9%)보다도 2.2%포인트 낮은 수치다.이번 선거는 기초단체장 1명을 뽑는 보궐선거지만, 내년 4월 총선을 앞둔 상황에서 사실상 수도권 민심의 바로미터로 여겨지며 여야 지도부가 나서 총력전을 펼쳤다. 국민의힘 김기현 대표는 연휴 기간에도 거리 유세를 이어가며 김태우 후보에 대한 지지를 호소했고, 더불어민주당 이재명 대표는 지난 9일 퇴원한 후 진교훈 후보 지원 유세장으로 향하기도 했다. 
",1,n.news.naver.com,naver
강서구청장 보선 최종투표율 48.7%…지방선거보다 3%p 낮아,http://news.tvchosun.com/site/data/html_dir/2023/10/11/2023101190233.html,https://n.news.naver.com/mnews/article/448/0000431253?sid=100,서울 강서구청장 보궐선거 최종 투표율이 48.7%로 잠정 집계됐다. 11일 중앙선거관리위원회에 따르면 강서구청장 보선에서 전체 선거인 50만 603명 중 총 24만 3665명이 투표했다. 본투표는 이날 오전 6시부터 오후... ,"Wed, 11 Oct 2023 20:44:00 +0900","




/연합뉴스서울 강서구청장 보궐선거 최종 투표율이 48.7%로 잠정 집계됐다.11일 중앙선거관리위원회에 따르면 강서구청장 보선에서 전체 선거인 50만 603명 중 총 24만 3665명이 투표했다. 본투표는 이날 오전 6시부터 오후 8시까지 진행됐다.투표율은 지난 6∼7일 진행된 사전투표와 거소투표 투표율을 합산해 반영한 수치다. 이번 보선 사전투표율은 22.64%로 역대 지방선거와 재·보궐선거를 통틀어 가장 높았지만 최종투표율은 최근 재·보궐선거에 미치지 못했다.2021년 4·7 재보선 서울·부산시장 보선 투표율은 56.8%였고 지난 4월 5일 경남 창녕군수 보선 투표율은 57.5%였다.지난해 6·1 지방선거 투표율은 전국평균 50.9%, 강서구는 51.7%였다
		",1,n.news.naver.com,naver
강서구청장 보궐선거 투표율 48.7%…예상치 넘겼다,http://www.edaily.co.kr/news/newspath.asp?newsid=03893366635771936,https://n.news.naver.com/mnews/article/018/0005593412?sid=100,서울 강서구청장 보궐선거 투표율이 11일 오후 8시 기준 48.7%를 기록했다. 전국 유일의 보궐선거로 내년도 총선의 전초전이라는 의미가 부여가 됐기 때문으로 분석된다. 지난 6~7일 이틀간 펼쳐진 사전 투표에서도 보선... ,"Wed, 11 Oct 2023 20:44:00 +0900","
올해 상반기 재보궐 선거 26.8% 대비 두 배 수준전국 유일의 보궐선거로 각당 총력전 영향 분석[이데일리 김유성 기자] 서울 강서구청장 보궐선거 투표율이 11일 오후 8시 기준 48.7%를 기록했다. 전국 유일의 보궐선거로 내년도 총선의 전초전이라는 의미가 부여가 됐기 때문으로 분석된다. 지난 6~7일 이틀간 펼쳐진 사전 투표에서도 보선·지선 기준 역대 최고 수준의 투표율(22.64%)을 보였다.  



강서구청장 보궐선거날인 11일 오전 서울 강서구 가양1동주민센터에 마련된 가양1동 제3투표소에서 유권자들이 투표를 하고 있다. (사진=연합뉴스)이번 보궐선거 본 투표는 11일 오전 6시부터 오후 8시까지 강서구 내 투표소 131곳에서 진행됐다. 투표율은 오후 5시 예상치 40%선을 넘어선 42.1%를 기록했다. 지난 4월 열린 전주을 국회의원 보궐선거 최종 투표율(26.8%)를 훌쩍 넘는 수치다.  오후 8시가 되면서 사전투표까지 포함한 누적 투표율은 48.7%로 집계됐다. 보궐선거 기준 높은 수준이나 지난 2021년 4·7 재보선 서울·부산시장 보선 투표율(56.8%), 지난해 4·5 경남 창녕군수 보선 투표율(57.5%)보다는 낮았다.이 같은 투표율은 야권을 중심으로 이미 예상됐다. 전국 유일의 보궐선거이고 윤석열 정부에 대한 정권 심판론 등이 겹쳐 강서구민들의 투표 참여가 높아졌다는 분석이다. 전날 총력 유세에서 홍익표 민주당 원내대표는 40% 초중반 투표율을 예상했고 정청래 민주당 최고위원은 40% 중후반을 전망했다. 이들은 모두 윤석열 정부에 대한 민심 이반이 이번 투표율에 반영될 것이라고 자신했다. 국민의힘도 역대 최고 수준의 투표율이 자신들에게 유리하다고 예상하기는 마찬가지였다.  지난 10일 강민국 국민의힘 수석대변인은 “역대 최고치인 22.64%의 사전투표율을 기록한 것은, 강서구민들의 간절한 변화의 바람이 고스란히 담겼기 때문일 것”이라고 분석했다. 강 수석대변인은 “그렇기에 이번 강서구청장 선거는 강서구의 발전을 이끌고 구민들의 삶을 바꿀 수 있는 행정 능력이 있는 사람인지, 반드시 후보자의 자질을 보고 판단해야 한다”고 밝히기도 했다.
",1,n.news.naver.com,naver
"강서구청장 보궐선거 최종 투표율, 48.7%",http://www.fnnews.com/news/202310112039415876,https://n.news.naver.com/mnews/article/014/0005084530?sid=100,서울 강서구청장 보궐선거 최종 투표율이 48.7%로 잠정 집계됐다. 11일 중앙선거관리위원회에 따르면 이날 오후 8시까지 선거인 50만603명 중 12만8949명이 투표를 마쳐 투표율 48.7%를 기록했다. 지난 6∼7일 이틀간... ,"Wed, 11 Oct 2023 20:42:00 +0900","
사전투표율 역대급이었지만 본투표율은 다소 낮아밤 11시쯤 당선자 윤곽 나올 듯 



서울 강서구청장 보궐선거일인 11일 오전 서울 강서구 양천초등학교에 마련된 가양1동 제1투표소에서 유권자들이 투표하고 있다. 연합뉴스[파이낸셜뉴스] 서울 강서구청장 보궐선거 최종 투표율이 48.7%로 잠정 집계됐다.   11일 중앙선거관리위원회에 따르면 이날 오후 8시까지 선거인 50만603명 중 12만8949명이 투표를 마쳐 투표율 48.7%를 기록했다. 지난 6∼7일 이틀간 실시된 사전투표와 재외국민·선상·거소투표(11만4917명)를 합산한 수치다.   최종 투표율 48.7%는 강서구청장 선거가 있었던 지난해 6·1 지방선거의 같은 시간 서울시 전체 투표율 53.2%보다 4.5%포인트, 강서구 투표율 51.7%보다 3%포인트 각각 낮은 수치다.   2021년 4·7 서울시장 보궐선거의 같은 시간 서울시 전체 투표율 58.2% 보다 9.5%포인트, 강서구 투표율 56.4%보다 7.7%포인트 낮다.   한편 사전투표율은 22.64%로 역대 재보궐선거 중 사전투표율이 가장 높았던 4·7 서울시장 재보궐선거(21.95%)를 웃돌았다. 6·1 지방선거 강서구 지역 최종 사전투표율(20.43%)과 비교해서도 2.21%포인트 높았다.   사전 투표 열기에 따라 최종 투표율도 높을 것이라는 전망이 나왔지만 본투표일 투표율은 예상보다 저조했던 것이다.   김태우 국민의힘 후보와 진교훈 더불어민주당 후보 간 2파전이 예상되는 가운데 당선자 윤곽은 이날 오후 11시쯤 나올 전망이다.
		",1,n.news.naver.com,naver
강서구청장 보궐선거 오후 2시 투표율 37.4%,https://www.hankyung.com/article/2023101103207,https://n.news.naver.com/mnews/article/015/0004900884?sid=100,서울 강서구청장 보궐선거 본투표일인 11일 오후 2시 기준 투표율은 37.4%로 집계됐다. 중앙선거관리위원회에 따르면 이날 오후 2시 기준 강서구 전체 유권자 50만603명 중 18만7280명(37.4%)이 투표를 마쳤다. 이는 지난 6... ,"Wed, 11 Oct 2023 14:16:00 +0900","




사진=뉴스1서울 강서구청장 보궐선거 본투표일인 11일 오후 2시 기준 투표율은 37.4%로 집계됐다.중앙선거관리위원회에 따르면 이날 오후 2시 기준 강서구 전체 유권자 50만603명 중 18만7280명(37.4%)이 투표를 마쳤다.이는 지난 6~7일 이뤄진 사전투표와 거소투표 투표율을 합산해 반영한 수치다. 사전투표율은 역대 지방선거와 재·보궐선거를 통틀어 역대 최고치인 22.64%를 기록했다.이번 보궐선거 투표율은 지난해 지방선거 동시간대 기준 강서구 투표율인 40.3%보다 낮다. 2021년 서울시장 보궐선거 동시간대 기준 강서구 투표율 41.2%보다도 낮은 수치다.이번 보궐선거는 서울 강서구 1곳에서 진행된다. 사전투표를 하지 않은 유권자는 이날 오후 8시까지 지정된 투표소에서 투표할 수 있다.
",1,n.news.naver.com,naver
강서구청장 보궐선거… 잠정 투표율 48.7%,http://www.segye.com/newsView/20231011525404?OutUrl=naver,https://n.news.naver.com/mnews/article/022/0003863572?sid=100,10·11 서울 강서구청장 보궐 선거의 잠정 투표율이 48.7%로 집계됐다. 서울 강서구청장 보궐선거 투표일인 11일 서울 강서구 서울식물원 2층 보타닉홀에 차려진 가양제1동8투표소에서 강서구민이 투표를 하고... ,"Wed, 11 Oct 2023 20:38:00 +0900","
			10·11 서울 강서구청장 보궐 선거의 잠정 투표율이 48.7%로 집계됐다.  



   서울 강서구청장 보궐선거 투표일인 11일 서울 강서구 서울식물원 2층 보타닉홀에 차려진 가양제1동8투표소에서 강서구민이 투표를 하고 있다. 뉴시스    중앙선거관리위원회는 11일 오후 8시 기준 잠정 투표 결과 선거인 수 50만603명 중 24만3658명이 투표해 이같이 나타났다고 밝혔다. 최종 투표율은 개표 작업이 진행된 이후 다시 발표된다.     이날 투표장은 찾은 유권자는 12만8949명으로 사전 투표자 11만4709명 보다 근소한 차이로 앞섰다.
",1,n.news.naver.com,naver
[속보] 강서구청장 보선 최종투표율 48.7%…지방선거보다 3%p 낮아,https://www.mk.co.kr/article/10847853,https://n.news.naver.com/mnews/article/009/0005197970?sid=100,서울 강서구청장 보궐선거 최종 투표율이 48.7%로 잠정 집계됐다. 11일 중앙선거관리위원회에 따르면 강서구청장 보선에서 전체 선거인 50만603명 중 총 24만3665명이 투표했다. 본 투표는 이날 오전 6시부터 오후... ,"Wed, 11 Oct 2023 20:36:00 +0900","




 강서구청장 보궐선거 투표일(서울=연합뉴스) 류영석 기자 = 강서구청장 보궐선거날인 11일 오전 서울 강서구 양천초등학교에 마련된 가양1동 제1투표소에서 유권자들이 투표를 하고 있다. 2023.10.11 ondol@yna.co.kr서울 강서구청장 보궐선거 최종 투표율이 48.7%로 잠정 집계됐다.11일 중앙선거관리위원회에 따르면 강서구청장 보선에서 전체 선거인 50만603명 중 총 24만3665명이 투표했다. 본 투표는 이날 오전 6시부터 오후 8시까지 진행됐다.투표율은 지난 6∼7일 이뤄진 사전투표와 거소투표 투표율을 합산해 반영했다.사전투표율은 22.64%로 역대 지방선거와 재·보궐선거를 통틀어 가장 높았다. 하지만 최종투표율은 최근 재·보궐선거보다 낮았다.2021년 4·7 재보선 서울·부산시장 보선 투표율은 56.8%, 지난 4월5일 경남 창녕군수 보선 투표율은 57.5%였다.최근 지방선거와 비교해도 투표율이 낮았다. 지난해 6·1 지방선거 투표율은 전국평균 50.9%, 강서구 51.7%였다.
",1,n.news.naver.com,naver
"검찰, '선거법 위반' 이정근 징역 1년6개월 구형",http://www.newsis.com/view/?id=NISX20231011_0002478545&cID=10201&pID=10200,https://n.news.naver.com/mnews/article/003/0012139720?sid=102,검찰이 지난해 3월 재보궐선거 등에서 선거운동원들에게 금품을 지급한 혐의로 기소된 이정근 전 더불어민주당 사무부총장에게 실형을 구형했다. 검찰은 11일 서울중앙지법 형사합의27부(부장판사 김옥곤) 심리로 열린 이... ,"Wed, 11 Oct 2023 13:52:00 +0900","
공동기소 선거운동원들도 벌금형 구형檢 ""공직선거법·정치자금법 취지 훼손""이정근 ""모두 내 책임…선처 내려달라""



[서울=뉴시스] 검찰이 11일 지난해 3월 재보궐선거 등에서 선거운동원들에게 금품을 지급한 혐의로 기소된 이정근 전 더불어민주당 사무부총장에게 실형을 구형했다. 사진은 이 전 부총장이 지난해 9월30일 영장실질심사를 마친 뒤 서울 서초구 서울중앙지방법원을 나서는 모습. 2022.09.30. [서울=뉴시스] 김진아 기자 = 검찰이 지난해 3월 재보궐선거 등에서 선거운동원들에게 금품을 지급한 혐의로 기소된 이정근 전 더불어민주당 사무부총장에게 실형을 구형했다. 검찰은 11일 서울중앙지법 형사합의27부(부장판사 김옥곤) 심리로 열린 이 전 부총장의 공직선거법 위반 등 혐의 공판에서 징역 1년6개월과 벌금 200만원을 구형했다. 이 전 부총장과 함께 기소된 선거운동원 등에게도 벌금형이 구형됐다. 검찰은 ""선거는 국민의 대표를 선출하는 과정으로 무엇보다 깨끗하고 공정한 경쟁 질서에서 이뤄져야 한다""며 ""하지만 피고인 등은 회계책임자로서 공직선거법과 정치자금법 입법 취지를 훼손해 범행 사실이 중대함에도 반성하는 모습을 보이지 않고 있다""고 지적했다. 이 전 부총장은 최후진술에서 ""부끄럽고 모두가 제 책임""이라며 ""7년간 8번의 선거를 치르면서 금전 문제나 사고는 단 한번도 없었지만 이렇게 된 상황에 자책하고 있다""고 심경을 밝혔다. 이어 ""이 자리에 저를 제외하고 함께 선 공동피고인들에게 미안한 마음""이라며 ""저를 위해 헌신하고 선거를 위해 활동했던 분들인데 이런 자리에 서게 된 것은 모두 제 책임이다. 이들이 헌신했던 시간이 억울하지 않도록 선처를 간곡히 부탁드린다""고 호소했다. 이 전 부총장은 지난해 3월 재보궐 선거 출마 당시 선거운동원 등에게 법정 기준 이상으로 돈을 지급한 혐의 등으로 같은 해 9월 기소됐다. 검찰은 그해 11월 이 전 부총장이 지방선거를 앞두고 출마 예정자들로부터 수백만원의 금품을 수수한 혐의가 있다며 추가로 기소하기도 했다. 이 과정에 전직 서울시의원, 전직 서초구의회 의원, 금품을 건넨 혐의를 받는 A씨와 B씨 등도 정치자금법 위반 혐의로 함께 기소됐다.이밖에도 이 전 부총장은 공공기관 인사 등 청탁을 빌미로 사업가 박모씨 등으로부터 10억원대 금품을 수수한 특정경제범죄 가중처벌 등에 관한 법률 위반(알선수재) 등 혐의로 1심에서 징역 4년6개월을 받았다. 이 사건은 현재 항소심이 진행 중이다．
",1,n.news.naver.com,naver
