title,original link,link,description,publication date,contents,label,base_url,source
질문에 답하는 송영길 전 대표,https://www.yna.co.kr/view/PYH20231011087400013?input=1196m,https://n.news.naver.com/mnews/article/001/0014254476?sid=102,2021년 더불어민주당 전당대회 돈봉투 의혹을 받는 송영길 전 대표가 11일 오전 서울 서초구 중앙지검 앞에서 검찰 규탄 농성을 하던 도중 지지자의 질문에 답하고 있다. 2023.10.11,"Wed, 11 Oct 2023 11:43:00 +0900","




    (서울=연합뉴스) 임화영 기자 = 2021년 더불어민주당 전당대회 돈봉투 의혹을 받는 송영길 전 대표가 11일 오전 서울 서초구 중앙지검 앞에서 검찰 규탄 농성을 하던 도중 지지자의 질문에 답하고 있다. 2023.10.11    hwayoung7@yna.co.kr
",1,n.news.naver.com,naver
"송영길 &quot;檢, 조작수사 중단하라&quot;…오후 서울지검서 '규탄농성'",http://news.tvchosun.com/site/data/html_dir/2023/10/10/2023101090074.html,https://n.news.naver.com/mnews/article/448/0000430979?sid=100,더불어민주당 송영길 전 대표는 10일 검찰이 자신에 대한 불법 피의사실 공표와 표적 수사를 하고 있다고 주장하며 서초동 서울중앙지검 앞에서 '검찰 규탄' 농성을 하겠다고 예고했다. 송 전 대표는 이날 자신의... ,"Tue, 10 Oct 2023 11:37:00 +0900","




/출처 : 송영길 더불어민주당 전 대표 페이스북 캡처더불어민주당 송영길 전 대표는 10일 검찰이 자신에 대한 불법 피의사실 공표와 표적 수사를 하고 있다고 주장하며 서초동 서울중앙지검 앞에서 '검찰 규탄' 농성을 하겠다고 예고했다.송 전 대표는 이날 자신의 페이스북에 ""정치자금 위반과 뇌물죄 혐의 정황을 운운하며 나를 모욕하고 명예를 훼손하는 '피의사실 공표' 범죄 행위를 즉각 중단하라""고 남겼다.이어 ""주변 사람 간 일을 나와 연관시켜 억지로 진술을 조작하고, 없는 증거를 만들어 별건 수사하는 검찰의 정치적 표적 수사를 강력히 규탄한다""고 적었다.송 전 대표는 '2021년 전당대회 돈 봉투 의혹'을 언급, ""검찰은 돈 봉투 논란과 관련해 나와 연관성을 찾아내지 못하자 내가 참여했던 '평화와 먹고사는 문제 연구소'를 별건 수사하며 정치적 기획 수사를 벌이고 있다""며 ""분노를 금할 수 없다. 이런 무도한 망나니 같은 짓을 중단하라""고 촉구했다.또 ""더 이상 집안에 앉아서 검찰의 압수수색을 당하지 않겠다""며 ""뜻있는 국민과 함께 오늘 저녁 8시부터 10월 말까지 1차 릴레이 농성을 시작하겠다""고 썼다.송 전 대표는 ""이 농성장이, 검찰을 야당 전·현직 대표와 반대 세력을 탄압하는 조직 폭력의 도구로 활용하는 이 정권 피해자들의 한 맺힌 분노가 응집되는 창구가 되기를 기대한다""고 덧붙였다.
		",1,n.news.naver.com,naver
송영길 &quot;6개월간 100번 넘게 압수수색하고 소환조사도 못해&quot;,http://www.newsis.com/view/?id=NISX20231011_0002478384&cID=10201&pID=10200,https://n.news.naver.com/mnews/article/003/0012139410?sid=102,송영길 전 더불어민주당 대표가 11일 &quot;6개월이 되도록 100여번이 넘는 압수수색을 하고도 소환조사도 못 하고... '전당대회 돈봉투' 의혹은 당시 송영길 의원이 당대표로 당선되는 과정에서 강래구 전... ,"Wed, 11 Oct 2023 11:38:00 +0900","
송영길, 서울중앙지검 앞서 농성 시작해""신속히 소환 조사해 사건 종결 처리해야""



[서울=뉴시스] 김금보 기자 = 송영길 전 더불어민주당 대표가 11일 오전 서울 서초구 서울중앙지방검찰청 앞에 마련한 릴레이 농성장에서 검찰을 규탄하는 기자회견을 하고 있다. 2023.10.11. kgb@newsis.com[서울=뉴시스] 하종민 기자 = 송영길 전 더불어민주당 대표가 11일 ""6개월이 되도록 100여번이 넘는 압수수색을 하고도 소환조사도 못 하고 있다""며 검찰을 비판했다.송 전 대표는 이날 오전 서울중앙지검 앞에서 '검찰범죄 카르텔 전체주의세력 규탄 농성'을 시작하며 ""더 이상 집에 앉아서 압수수색에 당하지 않겠다""며 이같이 말했다.그는 ""9월27일 새벽 서울중앙지검 특수2부 검사 수사관들이 용산에 있는 저희 집을 압수수색했다. 제 주변을 100번이 넘게 압수수색하더니, 이제는 저에게 정치자금 3자 뇌물 혐의를 씌워 저를 모욕하고 있다""고 비판했다.이어 ""3번째 검찰청 앞에 온다. 검찰은 신속히 저를 소환 조사해 사건을 종결 처리할 것을 강력히 촉구한다""고 강조했다.앞서 송 전 대표는 올해 4월22일 파리경영대학에서 방문교수로 활동하던 중 '2021년 전당대회 돈봉투' 의혹이 불거져 귀국한 바 있다. '전당대회 돈봉투' 의혹은 당시 송영길 의원이 당대표로 당선되는 과정에서 강래구 전 한국공공기관감사협회장이 이정근 전 민주당 사무부총장을 통해 여러 의원들에게 불법 자금을 건넸다는 의혹이다.그는 해당 사건의 피고인 중 한명인 윤관석 의원이 이정근 전 민주당 사무부총장으로부터 돈봉투를 받은 사실을 인정한 것에 대해서는 ""논란된 상황 자체가 알 수 없는 상황이다. 제가 법률적으로, 법적으로 대응하겠다""며 ""윤 의원의 100만원, 300만원에 대해서는 알지 못하다. 일관되고 동일한 입장""이라고 설명했다.다만 그는 ""사건 경위가 어찌 됐든 제가 당선되는 과정에서 발생한 일이어서 모든 책임은 저에게 있다. 국민에게 사과한다는 의지를 밝혔다""며 ""당원과 이재명 민주당 대표, 당 지도부에도 사과 의사를 표시하기 위해 정치적 책임을 지고 사랑하는 민주당을 탈당한 것""이라고 밝혔다.한편 그는 전날에도 자신의 사회관계망서비스(SNS)를 통해 ""윤석열 검찰의 불공정 수사로 피해를 당한 많은 국민의 민원을 듣겠다""며 ""뜻있는 국민과 함께 10월10일 저녁 8시부터 1차로 10월 말까지 릴레이 농성을 시작하겠다""고 밝혔다.또 ""이 농성장이 정권 피해자들의 한 맺힌 분노를 응집하는 창구가 되기를 기대한다""고도 했다.
",1,n.news.naver.com,naver
송영길 &quot;100번 넘는 압수수색…더는 당하지 않겠다&quot; 규탄 농성 선전포고,https://news.imaeil.com/page/view/2023101112154573367,https://n.news.naver.com/mnews/article/088/0000840010?sid=100,송영길 전 더불어민주당 대표가 검찰 범죄 카르텔 전체주의 세력 규탄 릴레이 농성 선전포고를 하며 검찰을... 앞서 지난 4월 22일 송 전 대표는 파리경영대학에서 방문 교수로 활동하던 중 과거 송영길 의원이 당대표로... ,"Wed, 11 Oct 2023 12:18:00 +0900","




2021년 더불어민주당 전당대회 돈봉투 의혹을 받는 송영길 전 대표가 11일 오전 서울 서초구 중앙지검 앞에서 검찰 규탄 농성을 하던 도중 지지자의 질문에 답하고 있다. 연합뉴스송영길 전 더불어민주당 대표가 검찰 범죄 카르텔 전체주의 세력 규탄 릴레이 농성 선전포고를 하며 검찰을 비판했다.11일 오전 서초동 서울중앙지검 앞에서 기자회견을 가진 송 전 대표는 ""6개월이 되도록 100여번이 넘는 압수수색을 하고도 소환조사도 못 하고 있다""며 ""더 이상 집에 앉아서 압수수색에 당하지 않겠다""고 밝혔다.송 전 대표는 ""9월27일 새벽 서울중앙지검 특수2부 검사 수사관들이 용산에 있는 저희 집을 압수수색했다""며 ""제 주변을 100번이 넘게 압수수색하더니, 이제는 저에게 정치자금 3자 뇌물 혐의를 씌워 저를 모욕하고 있다""고 주장했다.이어 ""3번째 검찰청 앞에 온다. 검찰은 신속히 저를 소환 조사해 사건을 종결 처리할 것을 강력히 촉구한다""고 말했다.또 그는 '2021년 전당대회 돈봉투' 사건 피고인 중 한 명인 윤관석 의원이 이정근 전 민주당 사무부총장으로부터 돈 봉투를 받은 사실을 인정한 것에 대해서는 ""논란된 상황 자체가 알 수 없는 상황이다. 제가 법률적으로, 법적으로 대응하겠다""며 ""윤 의원의 100만원, 300만원에 대해서는 알지 못한다. 일관되고 동일한 입장""이라고 강조했다.그러면서 ""사건 경위가 어찌 됐든 제가 당선되는 과정에서 발생한 일이어서 모든 책임은 저에게 있다. 국민에게 사과한다는 의지를 밝혔다""며 ""당원과 이재명 민주당 대표, 당 지도부에도 사과 의사를 표시하기 위해 정치적 책임을 지고 사랑하는 민주당을 탈당한 것""이라고 덧붙였다.앞서 지난 4월 22일 송 전 대표는 파리경영대학에서 방문 교수로 활동하던 중 과거 송영길 의원이 당대표로 당선되는 과정에서 강래구 전 한국공공기관감사협회장이 이정근 전 민주당 사무부총장을 통해 여러 의원에게 불법 자금을 건넸다는 '2021년 전당대회 돈봉투' 의혹이 불거져 귀국한 바 있다.
",1,n.news.naver.com,naver
송영길의 선전포고,https://www.news1.kr/photos/view/?6259753,https://n.news.naver.com/mnews/article/421/0007101688?sid=100,송영길 전 더불어민주당 대표가 11일 오전 서초동 서울중앙지검 앞에서 검찰 범죄 카르텔 전체주의 세력 규탄 릴레이 농성 선전포고 기자회견을 하고 있다. 송 전 대표는 &quot;야당 인사들과 반대자들의 인생을 절단내고자... ,"Wed, 11 Oct 2023 10:50:00 +0900","




(서울=뉴스1) 박정호 기자 = 송영길 전 더불어민주당 대표가 11일 오전 서초동 서울중앙지검 앞에서 검찰 범죄 카르텔 전체주의 세력 규탄 릴레이 농성 선전포고 기자회견을 하고 있다.송 전 대표는 ""야당 인사들과 반대자들의 인생을 절단내고자 달려드는 검찰 범죄 카르텔 세력과 맞서 싸우겠다""며 ""검찰은 신속히 저를 소환조사하여 사건을 종결 처리할 것을 강력히 촉구한다""고 밝혔다. 2023.10.11/뉴스1
		",1,n.news.naver.com,naver
"‘돈봉투건 소환’ 다급했나… 송영길, 이번엔 검찰청 농성",https://www.munhwa.com/news/view.html?no=2023101101070921183001,https://n.news.naver.com/mnews/article/021/0002598449?sid=102,"“윤석열·한동훈 탄핵시켜야” 중앙지검청사 앞 기자회견 檢, 이달 말 宋 소환할 전망 두 차례 검찰에 자진 출석을 시도했던 송영길 전 더불어민주당 대표가 이번에는 서울중앙지검 청사 앞에서 항의 농성을 시작했다.... ","Wed, 11 Oct 2023 11:59:00 +0900","




송영길 전 더불어민주당 대표가 11일 오전 서울 서초구 서울중앙지검 앞에서 ‘릴레이 검찰 앞 농성 선전포고’ 기자회견을 하고 있다. 뉴시스“윤석열·한동훈 탄핵시켜야”중앙지검청사 앞 기자회견檢, 이달 말 宋 소환할 전망두 차례 검찰에 자진 출석을 시도했던 송영길 전 더불어민주당 대표가 이번에는 서울중앙지검 청사 앞에서 항의 농성을 시작했다. 2021년 민주당 전당대회 돈봉투 살포 정당법 위반 혐의에 이어 송 전 대표의 뇌물죄 혐의까지 포착한 검찰은 이달 말쯤 송 전 대표에게 소환을 통보할 것으로 예상된다.송 전 대표는 11일 오전 10시 서울 서초구 서울중앙지검 앞에서 기자회견을 열고 이틀째 ‘검찰범죄 카르텔 전체주의 세력 규탄’ 농성에 돌입했다. 송 전 대표는 전날 오후 8시부터 같은 장소에서 밤샘 농성을 하려 했으나 서초구청의 제지로 오후 10시쯤 귀가한 바 있다. 돈봉투 의혹이 불거진 뒤 지난 4월 프랑스에서 귀국한 송 전 대표는 5월과 6월에 검찰의 소환 통보가 없는데도 자진 출석을 시도하기도 했다.송 전 대표는 기자회견에서 윤석열 대통령을 비롯해 한동훈 법무부 장관, 엄희준 대검찰청 반부패기획관, 손준성 대구고검 차장검사에 대한 탄핵을 주장했다. 그는 “양평고속도로 게이트와 박정훈 대령 수사 개입 의혹이 밝혀지면 윤 대통령 탄핵이 가능해질 것”이라며 “노골적으로 헌법상 공무원의 정치적 중립의무를 위반한 한 장관을 탄핵소추해야 한다”고 강조했다. 돈봉투 사건으로 구속기소된 윤관석 의원이 혐의를 일부 인정했지만, 송 전 대표는 이에 대해 “전당대회는 공직선거법 대상이 아니다”라는 주장을 펼쳤다. 그는 “돈봉투 사건은 부정부패 사범이나 사회적 중대 부패질서 사범이 아니지 않으냐”며 “전당대회는 정당 내 잔치이고 공직자를 선출하는 공직선거법 대상이 아니다”라고 주장했다.서울중앙지검 반부패수사2부(부장 최재훈)는 지난달 27일 송 전 대표와 김모 전 민주당 정책위원회 국토교통수석전문위원의 자택 등에서 압수한 물건들을 분석하면서 사건 관계자들을 불러 조사하고 있다. 검찰 안팎에서는 검찰이 이달 중 송 전 대표를 소환 조사할 것으로 전망하고 있다. 
",1,n.news.naver.com,naver
안경 매만지는 송영길,http://www.newspim.com/news/view/20231011000701,http://www.newspim.com/news/view/20231011000701,송영길 전 더불어민주당 대표가 11일 오전 서울 서초구 법원 삼거리 인근에서 검찰 수사 관련 릴레이농성 선전포고 기자회견을 열었다. 2023.10.11,"Wed, 11 Oct 2023 12:14:00 +0900","








[서울=뉴스핌] 이호형 기자 = 송영길 전 더불어민주당 대표가 11일 오전 서울 서초구 법원 삼거리 인근에서 검찰 수사 관련 릴레이농성 선전포고 기자회견을 열었다.
2023.10.11 leemario@newspim.com
 
",1,www.newspim.com,newspim
질문에 답하는 송영길 전 대표,https://www.yna.co.kr/view/PYH20231011087200013?input=1196m,https://n.news.naver.com/mnews/article/001/0014254474?sid=102,2021년 더불어민주당 전당대회 돈봉투 의혹을 받는 송영길 전 대표가 11일 오전 서울 서초구 중앙지검 앞에서 검찰 규탄 농성을 하던 도중 지지자의 질문에 답하고 있다. 2023.10.11,"Wed, 11 Oct 2023 11:43:00 +0900","




    (서울=연합뉴스) 임화영 기자 = 2021년 더불어민주당 전당대회 돈봉투 의혹을 받는 송영길 전 대표가 11일 오전 서울 서초구 중앙지검 앞에서 검찰 규탄 농성을 하던 도중 지지자의 질문에 답하고 있다. 2023.10.11    hwayoung7@yna.co.kr
",1,n.news.naver.com,naver
질문에 답하는 송영길 전 대표,https://www.yna.co.kr/view/PYH20231011087100013?input=1196m,https://n.news.naver.com/mnews/article/001/0014254473?sid=102,2021년 더불어민주당 전당대회 돈봉투 의혹을 받는 송영길 전 대표가 11일 오전 서울 서초구 중앙지검 앞에서 검찰 규탄 농성을 하던 도중 지지자의 질문에 답하고 있다. 2023.10.11,"Wed, 11 Oct 2023 11:43:00 +0900","




    (서울=연합뉴스) 임화영 기자 = 2021년 더불어민주당 전당대회 돈봉투 의혹을 받는 송영길 전 대표가 11일 오전 서울 서초구 중앙지검 앞에서 검찰 규탄 농성을 하던 도중 지지자의 질문에 답하고 있다. 2023.10.11    hwayoung7@yna.co.kr
",1,n.news.naver.com,naver
질문에 답하는 송영길 전 대표,https://www.yna.co.kr/view/PYH20231011087300013?input=1196m,https://n.news.naver.com/mnews/article/001/0014254475?sid=102,2021년 더불어민주당 전당대회 돈봉투 의혹을 받는 송영길 전 대표가 11일 오전 서울 서초구 중앙지검 앞에서 검찰 규탄 농성을 하던 도중 지지자의 질문에 답하고 있다. 2023.10.11,"Wed, 11 Oct 2023 11:43:00 +0900","




    (서울=연합뉴스) 임화영 기자 = 2021년 더불어민주당 전당대회 돈봉투 의혹을 받는 송영길 전 대표가 11일 오전 서울 서초구 중앙지검 앞에서 검찰 규탄 농성을 하던 도중 지지자의 질문에 답하고 있다. 2023.10.11    hwayoung7@yna.co.kr
",1,n.news.naver.com,naver
