title,original link,link,description,publication date,contents,label,base_url,source
"건축면적 70% 주택 비중 넘으면 보증… 주금공, 공사법 시행령 개정",http://moneys.mt.co.kr/news/mwView.php?no=2023101214351693705,https://n.news.naver.com/mnews/article/417/0000954489?sid=101,한국주택금융공사(HF)는 공사법 시행령 개정 등을 거쳐 사업자 보증 지원 대상을 확대한다고 12일 밝혔다. 이번 개정은 건설경기 둔화 등으로 어려움을 겪는 주택사업자의 원활한 사업 추진을 돕기 위해서다. 기존에는... ,"Thu, 12 Oct 2023 14:40:00 +0900","




 한국주택금융공사(HF)는 공사법 시행령 개정 등을 거쳐 사업자 보증 지원 대상을 확대한다. 사진은 서울 송파구 롯데월드타워 서울스카이 전망대에서 바라본 아파트 단지./사진=뉴스1 앞으로 오피스텔·상가도 전체 건축면적 중 주택 비중이 70% 이상인 경우 건축비 보증을 받을 수 있다. 한국주택금융공사(HF)는 공사법 시행령 개정 등을 거쳐 사업자 보증 지원 대상을 확대한다고 12일 밝혔다. 이번 개정은 건설경기 둔화 등으로 어려움을 겪는 주택사업자의 원활한 사업 추진을 돕기 위해서다.기존에는 주택 사업자가 HF 공사 사업자보증을 이용하는 경우, 주택에 대한 건축비만 지원돼 오피스텔·상가와 같은 비주택 부분에 대한 건축비는 별도 대출 등을 통해 조달해야 했다.앞으로는 전체 건축면적 중 주택이 차지하는 비중이 70% 이상인 경우 오피스텔·상가와 같은 비주택 부분을 포함한 건축비 전체가 보증지원 대상이 된다.HF 공사 관계자는 ""이번 제도개선으로 주택 사업자가 공사 보증을 통해 필요한 자금을 원활하게 조달할 수 있도록 했다""면서 ""공사는 앞으로도 부동산 프로젝트 파이낸싱(PF) 시장 안정을 통해 주택공급이 활성화될 수 있도록 적극적으로 노력하겠다""고 말했다.한편 사업자 보증 지원 대상 확대 조치는 12일 이후 보증신청 건부터 적용된다.
",1,n.news.naver.com,naver
민간 벤처모펀드 제도 19일 도입…시행령 개정안 의결,https://www.yna.co.kr/view/AKR20231010047000030?input=1195m,https://n.news.naver.com/mnews/article/001/0014251288?sid=101,"중소벤처기업부는 민간 벤처모펀드의 등록 요건과 투자 비율, 운용 자율성 확대 내용 등을 담은 벤처투자법 시행령 개정안이 10일 국무회의에서 의결됐다고 밝혔다. 이에 따라 민간 재원으로 벤처펀드에 대한 간접·분산... ","Tue, 10 Oct 2023 10:37:00 +0900","




이영 장관, 벤처 캐피탈 업계 간담회서 발언(서울=연합뉴스) 이영 중소벤처기업부 장관이 5일 서울 영등포구 기술보증기금 서울본부에서 열린 '벤처 캐피탈 업계 간담회'에서 모두 발언을 하고 있다. 2023.10.5 [중소벤처기업부 제공. 재판매 및 DB 금지] photo@yna.co.kr(서울=연합뉴스) 박상돈 기자 = 중소벤처기업부는 민간 벤처모펀드의 등록 요건과 투자 비율, 운용 자율성 확대 내용 등을 담은 벤처투자법 시행령 개정안이 10일 국무회의에서 의결됐다고 밝혔다.    이에 따라 민간 재원으로 벤처펀드에 대한 간접·분산 출자를 통해 안정성과 수익성을 추구하는 민간 벤처모펀드 제도가 국내에 도입돼 오는 19일부터 시행된다.    대규모 펀드 운용 경험과 출자자 모집 능력을 보유한 창업투자회사, 신기술금융업자, 일정 요건을 갖춘 자산운용사 등은 민간 벤처모펀드 단독 운용이 가능하며 자산운용사와 증권사는 창업투자회사 등과 공동 운용할 수 있다.    벤처·스타트업에 대한 투자가 확대될 수 있도록 출자금 총액의 60% 이상을 벤처투자조합에 의무적으로 출자하도록 했고 소규모 펀드의 난립 방지를 위해 1천억원 이상의 결성 규모를 확보하도록 했다.    또 벤처투자조합 출자금의 20%인 현행 상장주식 보유 비중 한도를 40%로 상향 조정하고 사모펀드와 신기술사업투자조합에 대한 출자를 허용해 수익성 중심의 분산투자가 이뤄질 수 있도록 하는 등 운용의 자율성을 확대했다.    이영 중기부 장관은 ""민간 벤처모펀드 제도 시행은 벤처투자 시장에서 민간의 역할이 강화되는 계기가 될 것""이라며 ""민간 벤처모펀드가 활발히 조성돼 정부 모태펀드와 함께 민간 자본 유입을 확대하는 주역으로 자리매김하길 기대한다""고 말했다.    kaka@yna.co.kr
",1,n.news.naver.com,naver
'집시법시행령 개정' 시민사회 반발,http://www.naeil.com/news_view/?id_art=475977,http://www.naeil.com/news_view/?id_art=475977,법 시행령 개정안을 지난 10일 국무회의에서 의결했다. 경찰이 시민단체와 집회신고-금지-집행정지 등 힘겨루기에서 잇달아 패하자 이뤄진 조치다. 정부는 그동안 시행령 개정을 공언해 왔기 때문에 시민단체 반발을... ,"Thu, 12 Oct 2023 12:38:00 +0900",,1,www.naeil.com,naeil
고용장관 &quot;중대재해법 완화? 文정부가&quot;…사퇴 요구 선그어,http://www.newsis.com/view/?id=NISX20231012_0002480063&cID=10221&pID=10200,https://n.news.naver.com/mnews/article/003/0012142120?sid=102,관련해 &quot;중대재해법 시행령 연구 용역은 문재인 정부가 한 것&quot;이라며 장관직 사퇴 요구에 선을 그었다. 이... 중대재해법 시행령 연구 용역은 문재인 정부에서 한 것&quot;이라고 강조했다. 지난해 9월 기획재정부는 중대재해법... ,"Thu, 12 Oct 2023 12:02:00 +0900","
환노위 고용부 국감서 우원식 의원 질의에""장관직 수행하며 양심에 어긋난 일 없다""



[서울=뉴시스] 조성봉 기자 = 이정식 고용노동부 장관이 12일 오전 서울 여의도 국회에서 열린 환경노동위원회 국정감사에서 업무보고를 하고 있다. 2023.10.12. suncho21@newsis.com[서울=뉴시스] 강지은 기자 = 이정식 고용노동부 장관은 12일 중대재해처벌법 시행 이후에도 잇따르는 노동자 사망 사고와 관련해 ""중대재해법 시행령 연구 용역은 문재인 정부가 한 것""이라며 장관직 사퇴 요구에 선을 그었다.이 장관은 이날 국회 환경노동위원회(환노위)의 고용부 국정감사에서 '윤석열 정부 출범 이후 노동자 생명 안전은 완전히 후퇴했다'며 사퇴를 요구하는 우원식 더불어민주당 의원의 질의에 이같이 답했다.지난해 1월27일 노동자 사망 사고 발생 시 경영 책임자를 처벌할 수 있도록 하는 중대재해법이 시행됐지만, 여전히 중대재해는 잇따르고 있다. 전년 동기보다 소폭 감소하기는 했으나, 올해 상반기 사고 사망자는 289명에 달한다.그러나 현재 중대재해법 위반 혐의로 입건된 166건 중 검찰에 송치된 사고는 2건에 불과하며, 정부는 현재 처벌대상 및 수준 등 제재방식 개선, 처벌요건 명확화 등을 골자로 하는 중대재해법령 개선을 추진 중이다.이에 대해 우 의원은 ""장관은 취임사에서 '일하는 국민의 안전을 지키는 것은 국가의 기본'이라고 했다. 그렇게 얘기했는데 (지금 상황이) 부끄럽지 않느냐""며 ""장관에서 사퇴해야 한다""고 촉구했다.다만 이 장관은 ""저는 고용부 장관으로서 직을 수행하면서 지금까지 살아온 가치관과 제 양심에 어긋난 일은 하지 않았다""며 ""노동자가 안 죽고 안 다치게 하는 것을 1차 목표로 두고 최선을 다했다고 생각한다""고 밝혔다.그러면서도 ""현행 제도와 법령 내에서 최선을 다하려고 하는데, 노동자 사망 사고가 계속 발생해 안타깝다""며 ""특히 중대재해법 시행령 연구 용역은 문재인 정부에서 한 것""이라고 강조했다.지난해 9월 기획재정부는 중대재해법 시행령 개정과 관련한 자체 연구용역 결과를 고용부에 전달한 바 있는데, 중대재해법령 완화는 현 정부가 아닌 전 정부가 추진한 사항이라는 얘기다.이 장관은 아울러 ""중대재해 예방의 실효성을 강화할 수 있는 방법도 고민해왔다""며 ""그런데 문재인 정부에서 산업안전보건법을 전면 개정하면서 작업중지 요건과 범위를 대폭 줄였다""고 주장했다.그러면서 사퇴 요구를 재차 묻는 우 의원 질의에 ""저는 지금껏 양심에 어긋남이 없었고 생각한다""며 ""제 직분에 최선을 다하겠다""고 밝혔다．
",1,n.news.naver.com,naver
벤처투자법 시행령 개정안 국무회의 의결…민간 벤처모펀드 시대 열려,https://www.etoday.co.kr/news/view/2290587,https://www.etoday.co.kr/news/view/2290587,"법률 시행령’ 개정안이 10일 국무회의에서 의결됐다고 밝혔다. 이에 따라 민간 벤처모펀드가 국내 최초로... 새 시행령으로 대규모 펀드 운용 경험과 출자자 모집능력을 보유한 창업투자회사, 신기술금융업자, 일정... ","Tue, 10 Oct 2023 10:38:00 +0900","
중소벤처기업부는 민간 벤처모펀드의 등록요건 및 투자비율, 운용의 자율성 확대 등을 규정하는 내용의 ‘벤처투자 촉진에 관한 법률 시행령’ 개정안이 10일 국무회의에서 의결됐다고 밝혔다.

이에 따라 민간 벤처모펀드가 국내 최초로 제도화돼 19일부터 시행된다.민간 벤처모펀드는 민간 재원으로 벤처펀드에 대한 간접·분산 출자를 통해 안정성과 수익성을 극대화할 수 있다는 장점이 있다. 미국 등 글로벌 벤처 선진국과는 달리 국내에서는 민간이 주도하는 모펀드 조성사례가 거의 없었으나 이번에 제도화되면서 민간 벤처모펀드 활성화를 위한 새로운 기틀이 마련됐다. 
관련 뉴스





																						중기부, ‘장애인기업법 시행령’ 개정안 국무회의 의결										




																						중기부, ‘라이콘’ 육성 프로젝트 완결판 파이널 피칭 대회 개최										




																						중기부, 제5회 ‘팹리스-파운드리 상생협의회’ 개최										




새 시행령으로 대규모 펀드 운용 경험과 출자자 모집능력을 보유한 창업투자회사, 신기술금융업자, 일정 요건을 갖춘 자산운용사 등은 민간 벤처모펀드 단독 운용이 가능하며, 자산운용사·증권회사는 창업투자회사 등과 공동 운용할 수 있다.또 벤처·스타트업에 대한 투자가 확대될 수 있도록 출자금 총액의 60% 이상을 벤처투자조합에 의무적으로 출자하도록 하고, 소규모 펀드의 난립 방지를 위해 1000억 원 이상의 결성 규모를 확보하도록 했다.아울러 벤처투자조합 출자금의 20%인 현행 상장주식 보유 비중 한도를 40%로 상향하고, 사모펀드와 신기술사업투자조합에 대한 출자를 허용해 수익성 중심의 분산투자가 이루어질 수 있도록 하는 등 운용의 자율성을 확대했다.이영 장관은 “민간 벤처모펀드 제도 시행은 벤처투자 시장에서 민간의 역할이 강화되는 계기가 될 것”이라며 “민간 벤처모펀드가 활발히 조성돼 정부 모태펀드와 함께 민간자본 유입을 확대하는 주역으로 자리매김하길 기대한다”고 밝혔다.
",1,www.etoday.co.kr,etoday
"‘검찰 수사권 확대’ 시행령 통과···尹 “검·경, 경쟁하지 말고 국민만 ...",https://www.khan.co.kr/politics/politics-general/article/202310101102001,https://n.news.naver.com/mnews/article/032/0003253811?sid=100,문재인 정부는 검·경 수사권 조정을 통해 보완수사를 경찰이 전담하도록 했는데 윤석열 정부는 보완수사·재수사를 검찰도 맡을 수 있도록 시행령을 개정한 것이다. 이 대변인은 수사준칙 개정에 대해 “2021년 검·경... ,"Tue, 10 Oct 2023 11:03:00 +0900","




윤석열 대통령이 10일 서울 용산 대통령실 청사에서 국무회의를 주재하고 있다. 연합뉴스윤석열 대통령은 10일 검찰 수사권을 확대하는 내용의 대통령령 개정안이 국무회의를 통과한 것과 관련해 “검찰·경찰은 오로지 국민만 생각하고 상호 협력하에 국민의 안전과 신속한 권리 구제에 최선을 다해야 한다”고 말했다.윤 대통령은 이날 오전 용산 대통령실에서 열린 국무회의에서 심의·의결된 ‘검사와 사법경찰관의 상호 협력과 일반적 수사준칙에 관한 규정 개정안’과 관련해 이같이 말했다고 이도운 대변인이 서면 브리핑을 통해 전했다.윤 대통령은 검찰과 경찰을 향해 “국민 앞에서 서로 경쟁하지 말고, 각자의 장점을 살려 시너지 효과를 내야 한다”고 당부했다고 이 대변인은 전했다.문재인 정부는 검·경 수사권 조정을 통해 보완수사를 경찰이 전담하도록 했는데 윤석열 정부는 보완수사·재수사를 검찰도 맡을 수 있도록 시행령을 개정한 것이다.이 대변인은 수사준칙 개정에 대해 “2021년 검·경 수사권 조정 이후 사건에 대한 책임 소재가 불분명해지면서 각종 민생 사건의 수사 지연, 부실 수사 등 부작용이 발생하는 것과 관련해서 현행 법률의 틀 안에서 검·경이 협력해 사건을 책임지고 신속하게 수사할 수 있도록 수사준칙을 개선하는 안”이라고 설명했다.윤 대통령은 이날 국무회의 마무리 발언에서 이스라엘 정부와 팔레스타인 무장 정파 하마스 간 교전이 발생한 것과 관련해 “낙관은 금물”이라며 “정부가 긴장의 끈을 놓지 말고, 민생경제와 국가안보의 측면에서 상황을 예의주시하고, 대비에 만전을 기해 달라”고 내각에 지시했다고 이 대변인이 전했다.윤 대통령은 모두발언에서는 “중동지역의 무력 분쟁과 전쟁은 국제 유가 상승을 불러오고 비용 상승 인플레이션으로 우리 국민의 물가 부담을 가중시켜 왔다”며 “경제부총리를 중심으로 관계 부처는 국내외 경제 금융 상황을 실시간 모니터링하고 경제 불안정에 대한 리스크 관리에 만전을 기해주시기 바란다”고 당부했다. 윤 대통령은 또한 “외교부가 중심이 되어 관계 부처는 교민과 여행객의 안전 대책을  철저히 준비해주시기 바란다”고 주문했다.윤 대통령은 또한 청소년 불법 도박과 관련해서도 “청소년을 상대로 한 불법 도박 개장은 국가의 미래를 좀먹는 악질 범죄”라며 총력 대응을 당부했다. 윤 대통령은 “최근 초, 중, 고등학생 19만여 명이 ‘도박 위험집단’이라는 조사 결과가 발표되어 큰 충격을 주고 있다”며 “특히, 인터넷 방송, 게임, SNS(사회관계망서비스) 등으로 청소년들의 일상 깊숙이 침투한 이 온라인 불법 도박은 청소년들의 정신과 미래를 파괴하고 있다”고 말했다.윤 대통령은 이어 “도박 빚을 갚기 위해 사채에 손을 대고 마약 배달, 보이스피싱 등 2차 범죄에까지 연루되고 있어 사태가 더욱 심각하다”며 “경찰은 불법 도박 및 연계 범죄에 대해 철저한 수사와 단속을 해주기 바란다”고 강조했다. 윤 대통령은 “불법 사이트 차단, 중독 상담과 치료 등 범정부 총력 대응이 매우 중요하다”며 “법무부를 주축으로 교육부, 보건복지부, 방통위 등 관계 부처가 모두 참여하는 ‘범부처 대응팀’을 조속히 출범시켜 주길 바란다”고 당부했다.윤 대통령은 이날부터 시작된 국정감사와 관련해서는 “국민에게 설명한다는 마음으로 정부 정책을 알기 쉽게, 정확하게, 자신 있게 설명해 달라”고 당부했다고 이 대변인이 전했다.
		",1,n.news.naver.com,naver
중기부 ‘벤처투자법 시행령’ 의결 “민간 벤처모펀드 제도 도입”,https://www.venturesquare.net/898544,https://www.venturesquare.net/898544,"중소벤처기업부(장관 이영)는 민간 벤처모펀드의 등록요건 및 투자비율, 운용의 자율성 확대 등을 규정하는 내용의 ‘벤처투자 촉진에 관한 법률 시행령’ 개정안이 10일 국무회의에서 의결됐다고 밝혔다. 이에 따라 민간... ","Tue, 10 Oct 2023 15:28:00 +0900",,1,www.venturesquare.net,venturesquare
12억 아파트 살면서 월 340만원 따박따박 받는다,https://biz.sbs.co.kr/article_hub/20000138947?division=NAVER,https://n.news.naver.com/mnews/article/374/0000354127?sid=101,이는 주택금융공사법 시행령 개정안이 오늘부터 시행되면서 총대출 한도가 5억 원에서 6억 원으로 확 늘어나기 때문입니다. 아울러 주택연금 가입 대상 주택가격 상한이 기존 공시가격 9억 원 이하에서 12억 원... ,"Thu, 12 Oct 2023 10:51:00 +0900","
주택연금 총 대출한도 5억→6억원



오늘(12일)부터 주택연금 가입자 중 일부는 매월 받는 연금을 현재보다 최대 20% 더 받을 수 있습니다. 이는 주택금융공사법 시행령 개정안이 오늘부터 시행되면서 총대출 한도가 5억 원에서 6억 원으로 확 늘어나기 때문입니다.아울러 주택연금 가입 대상 주택가격 상한이 기존 공시가격 9억 원 이하에서 12억 원 이하로 상향 조정됩니다. 시세로 약 17억 원 아파트 소유자도 가입 대상이 된다는 의미입니다.가령, 주택연금 가입 평균 연령인 72세인 사람이 시세 9억 원인 집으로 주택연금에 가입한다고 할 때, 지금은 매달 283만 9,000원(종신·정액형 기준)을 받습니다. 시세가 9억 원을 넘더라도 월 지급금은 283만 9,000원으로 고정입니다. 주택가격 인정 한도가 현행 소득세법상 고가 주택 기준(시세 12억 원)으로 설정돼 있는 데다 5억 원의 총 대출한도 규정도 있기 때문입니다.그러나 총 대출한도가 6억 원으로 늘어나면 신규 가입자는 시세가 9억 원이면 월 지급금이 294만 9,000원으로 현재보다 11만 원(증가율 4%) 더 받습니다. 월 지급금은 시세가 10억 원과 11억 원인 경우, 각각 327만 6,000원(15%), 340만 7,000원(20%)으로 증가합니다.다만, 가격이 11억 원을 넘는 집부터는 새로 바뀐 총대출한도액(6억원)을 초과하기 때문에 최대 월 지급금은 340만 7,000원으로 같습니다. 또 총 대출한도가 5억 원을 넘지 않는 시세 9억 원 미만(72세 가입 기준)의 집들은 월 지급금에 변동이 없습니다.이번 총 대출한도 상향은 12일부터 새로 주택연금에 가입한 사람에게만 적용되고,  기존 가입자는 내년 4월 11일 전에 주택연금을 해지하고 다시 가입하면 혜택을 받을 수 있습니다.다만, 해지 후 재가입하려면 주택연금 대출 잔액을 먼저 갚아야 하고 초기 보증료도 다시 내야 한다는 것은 유의해야 합니다.당신의 제보가 뉴스로 만들어집니다.SBS Biz는 여러분의 제보를 기다리고 있습니다.홈페이지 = https://url.kr/9pghjn
",1,n.news.naver.com,naver
“12억 집 살면서 통장에 월340만원 꽂힌다”…오늘부터 시세 17억 주택도 대...,https://www.mk.co.kr/article/10847928,https://n.news.naver.com/mnews/article/009/0005198034?sid=101,이는 주택금융공사법 시행령 개정안이 오늘부터 시행되면서 총대출 한도가 5억원에서 6억원으로 확 늘어나기 때문이다. 아울러 주택연금 가입 대상 주택가격 상한이 기존 공시가격 9억원 이하에서 12억원 이하로 상향... ,"Thu, 12 Oct 2023 08:32:00 +0900","
주택연금 총 대출한도 5억→6억원집값 떨어져도 지급금 평생 유지



 [사진 = 매경 DB]12일부터 주택연금 가입자중 일부는 매월 받는 연금을 현재보다 최대 20% 더 받을 수 있다. 이는 주택금융공사법 시행령 개정안이 오늘부터 시행되면서 총대출 한도가 5억원에서 6억원으로 확 늘어나기 때문이다.아울러 주택연금 가입 대상 주택가격 상한이 기존 공시가격 9억원 이하에서 12억원 이하로 상향 조정된다. 주택의 공시가격 12억원은 시세로 약 17억원 정도다. 기존에 가입이 어려웠던 약 14만 가구가 주택연금 가입이 가능해질 전망이다.주택연금은 만 55세 이상의 유주택자가 주택금융공사에 집을 담보로 맡기고 공사로부터 연금 형태로 평생 돈을 빌리는 역(逆)모기지 상품이다. 따라서 나이가 많고, 집값이 비쌀수록 받는 돈의 총액이 많아진다.



 [표 = 주택금융공사]주택금융공사는 재정 여건 등을 고려해 지급할 수 있는 연금 총액(물가상승률 등을 감안해 현재 가치로 환산)을 제한하고 있었는데, 그 기준이 이날부터 5억원에서 6억원으로 상향된다.가령, 주택연금 가입 평균 연령인 72세인 사람이 시세 9억원인 집으로 주택연금에 가입한다고 할 때, 지금은 매달 283만9000원(종신·정액형 기준)을 받는다. 시세가 9억원을 넘더라도 월 지급금은 283만9000원으로 고정된다. 주택가격 인정 한도가 현행 소득세법상 고가 주택 기준(시세 12억원)으로 설정돼 있는데다 5억원의 총 대출한도 규정도 있기 때문이다.그러나 총 대출한도가 6억원으로 늘어나면 신규 가입자는 시세가 9억원이면 월 지급금이 294만9000원으로 현재보다 11만원(증가율 4%) 더 받는다. 월 지급금은 시세가 10억원과 11억원인 경우, 각각 327만6000원(15%), 340만7000원(20%)으로 증가한다.다만, 가격이 11억원을 넘는 집부터는 새로 바뀐 총 대출한도액(6억원)을 초과하기 때문에 최대 월 지급금은 340만7000원으로 같다. 또 총 대출한도가 5억원을 넘지 않는 시세 9억원 미만(72세 가입 기준)의 집들은 월 지급금에 변동이 없다.이번 총 대출한도 상향은 12일부터 새로 주택연금에 가입한 사람에게만 적용된다. 기존 가입자는 내년 4월 11일 전에 주택연금을 해지하고 다시 가입하면 혜택을 받을 수 있다.다만, 해지 후 재가입하려면 주택연금 대출 잔액을 먼저 갚아야 하고 초기 보증료도 다시 내야 한다는 것은 유의해야 한다.



 [사진 = 연합뉴스]만약 부부 모두 사망한 뒤에 주택을 처분한 금액이 지급 총액보다 크면, 남은 금액은 자녀가 상속 받을 수 있다.반대로 지급액이 더 많으면 담보인 주택만 넘기면 그만이다.주택금융공사 관계자는 “주택연금은 본인 소유 집에서 계속 살면서 생활비까지 얻고, 그 주택을 임대로도 놓을 수 있어 노후자금 마련에 유익하다. 월지급금 증가율은 ▲시세 9억원은 4% ▲시세 10억원은 15% ▲시세 11억원 또는 12억원 20% 수준으로 증가한다”면서 “특히, 향후 집값이 크게 떨어지더라도 주택연금은 가입 시점으로 적용돼 평생동안 안정적인 현금을 받을 수 있다”고 강조했다.한편 주택금융공사는 12일 이후 시세 2억원 미만의 1주택 보유자가 주택연금에 가입할 경우 감정평가수수료를 가입자 대신 부담해준다. 기존엔 감정평가액 1억8000만원에 해당하는 주택으로 주택연금 가입 시 가입자가 감정평가수수료로 38만9000원을 지불했다.◆ 주택연금 관련 잘못 알고 있거나, 궁금한 것들주택연금 가입 전에 담보대출을 모두 갚아야 하나주택연금의 일시 인출금 등을 통해 선순위 주택담보대출을 전액 상환해야 가입할 수 있다. 대출상환 방식인 경우 대출한도의 최대 90%까지 일시 인출된다.기존 대출 금융기관과 주택연금 취급 금융기관이 동일한 경우 중도상환수수료가 면제된다.이사를 가는 경우에도 주택연금 가입되나주택연금에 가입하게 되면 ‘이사도 제대로 못간다’고 알고 있는 사람들이 주변에 꽤 많다. 하지만 이는 잘못된 정보로, 향후 이사하게 될 주택으로 담보주택을 변경하면 된다.다만, 이사 당시 기존 주택의 가격과 새 주택의 담보가격 차액을 비교해 연금을 더 받거나 줄어드는 등 연금조정 및 초기 보증료(가입비)는 추가적으로 부가될 수 있다.주택 소유에 따른 세금 문제는주택연금은 집에 담보를 설정하기는 해도 주택의 소유권은 가입자에게 있다. 따라서 재산세를 비롯한 해당 주택에 대한 세금은 가입자가 납부해야 한다.목돈이 생기면 상환할 수 있나이용기간 중 언제든지 대출잔액 일부 또는 전부를 상환할 수 있다. 개별인출금 상환의 경우 조건변경을 통해 1회에 한해 인출한도 회복이 가능하다.재개발·재건축이 예정된 주택도 가능한가사업 진행상황에 따라 주택연금 가입 가능 여부를 판단한다. 지방자치단체로부터 관리처분계획인가를 받기 이전에는 가입 할 수 있지만 인가를 받은 후에는 주택의 철거 등이 이뤄지기 때문에 가입이 제한된다. 주택연금을 이용하는 도중에는 재개발, 재건축이 진행되더라도 유지할 수 있다.
",1,n.news.naver.com,naver
주택비중 70% 넘는 오피스텔 건축비 전액 보증,https://www.sedaily.com/NewsView/29VXJ9EFMK,https://n.news.naver.com/mnews/article/011/0004248298?sid=101,한국주택금융공사가 주택 사업자의 원활한 사업 추진을 위해 공사법 시행령을 개정하고 사업자 보증 지원 대상을 확대한다고 12일 밝혔다. 시행령 개정에 따라 전체 건축 면적 중 주택이 차지하는 비중이 70% 이상이면... ,"Thu, 12 Oct 2023 14:26:00 +0900","
주택금융공사법 시행령 개정



9일 서울 시내 아파트 단지. 연합뉴스[서울경제] 한국주택금융공사가 주택 사업자의 원활한 사업 추진을 위해 공사법 시행령을 개정하고 사업자 보증 지원 대상을 확대한다고 12일 밝혔다.시행령 개정에 따라 전체 건축 면적 중 주택이 차지하는 비중이 70% 이상이면 건축비 전체를 보증받을 수 있게 됐다. 기존에는 주택에 대한 건축비만 지원돼 오피스텔·상가처럼 비주택 부분에 대한 건축비는 별도 대출 등으로 조달해야 했다. 앞으로는 비주택 부분도 보증 지원 대상에 포함된다. 이 조치는 12일 이후 보증 신청 건부터 적용된다.주금공의 한 관계자는 “이번 제도 개선으로 주택 사업자가 공사 보증을 통해 필요한 자금을 원활하게 조달할 수 있도록 했다”며 “앞으로도 부동산 프로젝트파이낸싱(PF) 시장 안정을 통해 주택 공급이 활성화될 수 있도록 적극 노력하겠다”고 말했다.
",1,n.news.naver.com,naver
