title,original link,link,description,publication date,contents,label,base_url,source
이재명 &quot;국정실패에 엄중한 심판…더 겸허히 민심 받들겠다&quot;,https://www.yna.co.kr/view/AKR20231011177400001?input=1195m,https://n.news.naver.com/mnews/article/001/0014256072?sid=100,&quot;野 승리라 생각안해…정치 각성·민생 회복 명하는 국민 회초리&quot; 더불어민주당 이재명 대표는 11일 서울 강서구청장 보궐선거 결과와 관련해 &quot;국민의 위대한 승리이자 국정 실패에 대한 엄중한 심판&quot;이라고 밝혔다. 이... ,"Thu, 12 Oct 2023 00:02:00 +0900","
""野 승리라 생각안해…정치 각성·민생 회복 명하는 국민 회초리""



이재명 대표, 진교훈 후보 지원 유세(서울=연합뉴스) 한상균 기자 = 더불어민주당 이재명 대표가 9일 서울 강서구 발산역 인근에서 강서구청장 보궐선거 진교훈 후보 지원 유세를 하고 있다. 2023.10.9 [공동취재] xyz@yna.co.kr(서울=연합뉴스) 홍지인 기자 = 더불어민주당 이재명 대표는 11일 서울 강서구청장 보궐선거 결과와 관련해 ""국민의 위대한 승리이자 국정 실패에 대한 엄중한 심판""이라고 밝혔다.    이 대표는 이날 밤 강서구청장 보궐선거에서 민주당 진교훈 후보의 승리가 확실시되자 페이스북에 ""더 겸허히 민심을 받들겠다""며 이같이 썼다.    그는 ""민주당의 승리라 생각하지 않는다""며 ""정치의 각성과 민생 회복을 명하는 국민의 매서운 회초리""라고 지적했다.    이어 ""한때 집권당이던 민주당의 안일했음과 더 치열하지 못했음과 여전히 부족함을 다시 한번 성찰하며 국민의 공복으로서 민생, 경제, 안전, 평화, 민주주의 회복에 사력을 다하겠다고 재삼 다짐한다""고 밝혔다.    또 ""우리 안의 작은 차이를 넘어 단합하고, 갈등과 분열을 넘어 국민의 저력을 하나로 모아, 위기를 극복하고 국가와 국민의 더 나은 미래를 개척해 가겠다""며 ""오로지 국리민복만을 위해 경쟁하는, 진정한 의미의 정치가 복원되도록 최선을 다하겠다""고 강조했다.    그는 ""참담한 현실 속에서도 국민께서 기대 속에 내일을 준비하실 수 있도록 희망의 불씨를 키워가겠다""며 ""두려운 마음으로, 위대한 국민과 강서구민 여러분께 존경과 감사의 마음을 바친다""고 덧붙였다.    이 대표는 개표가 시작되기 전 당직자들이 있는 단체 대화방에서도 ""다행히 승리하더라도 선거 결과에 대해 민주당의 승리가 아닌 국민의 승리, 민생 파탄에 대한 국민의 심판으로 규정해야 한다""고 썼다.    그는 ""승리에 따른 축제 분위기는 절대 안 되고 민생, 민주, 평화를 지키지 못한 데 대한 더 큰 반성과 각오의 계기여야 한다""며 ""부족함과 책임을 겸허하게 인정하고 더 치열하게 처절하게 민생, 경제, 안전, 평화, 민주주의를 위해 분골쇄신하겠다는 진정성 있는 다짐이 보여야 한다""고 당부했다.    geein@yna.co.kr
",1,n.news.naver.com,naver
이재명 &quot;국민의 위대한 승리&quot;…강서구청장 승리 메시지,http://www.edaily.co.kr/news/newspath.asp?newsid=01082406635772264,https://n.news.naver.com/mnews/article/018/0005593438?sid=100,“국민의 위대한 승리이자 국정 실패에 대한 엄중한 심판이다.” 이재명 더불어민주당 대표는 11일 치러진... 퇴원한 이재명 더불어민주당 대표가 9일 오후 서울 강서구 발산역에서 진교훈 강서구청장 후보 지원유세를 하고... ,"Thu, 12 Oct 2023 00:04:00 +0900","
진교훈 후보 당선 확정 후 SNS 통해 남겨""국정 실패에 대한 엄중한 심판이자 회초리""[이데일리 김유성 기자] “국민의 위대한 승리이자 국정 실패에 대한 엄중한 심판이다.” 이재명 더불어민주당 대표는 11일 치러진 서울 강서구청장 보궐선거에서 진교훈 후보가 승리하자 자신의 사회관계망서비스(SNS)를 통해 이 같이 밝혔다. 이 대표는 “민주당의 승리라고 생각하지 않는다”면서 “정치의 각성과 민생 회복을 명하는 국민의 매서운 회초리”라고 단언했다. 



퇴원한 이재명 더불어민주당 대표가 9일 오후 서울 강서구 발산역에서 진교훈 강서구청장 후보 지원유세를 하고 있다. (공동취재사진)그는 “한때 집권당이던 저희 민주당의 ‘안일했음과 더 치열하지 못했음과 여전히 부족함’을 다시 한번 성찰한다”며 “국민의 공복으로서 민생, 경제, 안전, 평화, 민주주의 회복에 사력을 다하겠다고 새삼 다짐한다”고 밝혔다. 또 그는 “우리 안의 작은 차이를 넘어 단합하고, 갈등과 분열을 넘어 국민의 저력을 하나로 모아 위기를 극복하고 국가와 국민의 더 나은 미래를 개척하겠다”면서 “오로지 ‘국리민복’만을 위해 경쟁하는, 진정한 의미의 정치가 복원되도록 최선을 다하겠다”고 다짐했다. 강서구민에 대한 감사의 말도 전했다. 이 대표는 “참담한 현실 속에서도 국민께서 기대 속에 내일을 준비하실 수 있도록 희망의 불씨를 키워가겠다”면서 “두려운 마음으로, 위대한 국민과 강서구민 여러분께 존경과 감사의 마음을 바친다”고 했다.
",1,n.news.naver.com,naver
"한동훈, 이재명 376회 압색 반박…&quot;그럼 매일 했어야&quot;",http://www.newsis.com/view/?id=NISX20231011_0002479330&cID=10201&pID=10200,https://n.news.naver.com/mnews/article/003/0012140861?sid=102,"한동훈 법무부 장관이 11일 이재명 더불어민주당 대표와 관련한 검찰의 압수수색이 376회에 달한다는 야당의 주장을 반박하면서, 산정 근거를 제시하라며 역공을 폈다. 한 장관은 이날 국회 법제사법위원회의 국정감사에... ","Wed, 11 Oct 2023 21:29:00 +0900","
檢, 수사팀 개편 후 36회 압수수색 주장한동훈 ""野 근거 제시하면 설명 가능해""



[서울=뉴시스] 고범준 기자 = 한동훈 법무부 장관이 11일 오후 서울 여의도 국회에서 열린 법제사법위원회의 법무부 등에 대한 국정감사에서 의원 질의에 답변하고 있다. 2023.10.11. bjko@newsis.com[서울=뉴시스] 류인선 기자 = 한동훈 법무부 장관이 11일 이재명 더불어민주당 대표와 관련한 검찰의 압수수색이 376회에 달한다는 야당의 주장을 반박하면서, 산정 근거를 제시하라며 역공을 폈다.한 장관은 이날 국회 법제사법위원회의 국정감사에 출석해 '검찰이 이 대표를 376차례 압수수색했다고 민주당이 주장한다. 맞나'라는 조수진 국민의힘 의원의 질의에 ""저 숫자면 거의 매일 했어야 하는데, 매일 압수수색을 하지는 않지 않았겠나""라고 답했다.이어 ""저 숫자가 어떤 근거에서 나온 것인지를 제시해주면 저희 검찰에게 답변을 할 수 있도록 준비하겠다""며 ""민주당 의원이 표를 들고 설명하시던데 표 내용을 공개해주시면 설명드릴 수 있을 것 같다""고 밝혔다.그러면서 ""보통 한 번 (압수수색)할 때 옆방 이렇게 여러가지 하지 않겠나. 세는 방식에 차이가 있을 것 같은데, 일단 제가 보고 받기로는 이 대표 자택이나 사무실은 압색하지 않은 것 같다""고 말했다.민주당 측은 이 대표 영장기각 후 ""검찰이 이 대표를 376회 압수수색했다""며 표적 수사를 주장하고 있고, 검찰은 경찰이 매출 전표를 제출받은 것까지 압수수색 횟수로 계산한 것 같다며 수사팀 개편 후 36회라고 맞섰다.박찬대 민주당 의원은 지난 4일 KBS 라디오에 출연해 표를 근거로 ""대선 이전부터 압수수색 건수를 검찰독재정치탄압대책위원회가 기사로 집계했다""는 취지로 밝혔다. 한 장관은 이를 언급하며 민주당 측에 근거 제시를 요구한 것으로 보인다．
",1,n.news.naver.com,naver
이재명 “국정실패 엄중한 심판…민심 겸허히 받들겠다”,https://www.seoul.co.kr/news/newsView.php?id=20231012500002&wlog_tag3=naver,https://n.news.naver.com/mnews/article/081/0003399663?sid=100,더불어민주당 이재명 대표는 11일 서울 강서구청장 보궐선거에서 진교훈 후보가 두 자릿수 이상 압도적인 승리를 거둔 것과 관련해 “국민의 위대한 승리이자 국정 실패에 대한 엄중한 심판”이라고 밝혔다. 이 대표는 이날... ,"Thu, 12 Oct 2023 00:35:00 +0900","




더불어민주당 이재명 대표가 9일 서울 강서구 발산역 인근에서 강서구청장 보궐선거 진교훈 후보 지원 유세를 하고 있다. 2023.10.9 공동취재더불어민주당 이재명 대표는 11일 서울 강서구청장 보궐선거에서 진교훈 후보가 두 자릿수 이상 압도적인 승리를 거둔 것과 관련해 “국민의 위대한 승리이자 국정 실패에 대한 엄중한 심판”이라고 밝혔다.이 대표는 이날 늦은 오후 강서구청장 보궐선거에서 민주당 진교훈 후보의 승리가 확실시되자 페이스북에 “더 겸허히 민심을 받들겠다”며 이같이 썼다.그는 “민주당의 승리라 생각하지 않는다. 정치의 각성과 민생 회복을 명하는 국민의 매서운 회초리”라고 이번 선거 결과를 평가한 뒤 “한때 집권당이던 민주당의 안일했음과 더 치열하지 못했음과 여전히 부족함을 다시 한번 성찰하며 국민의 공복으로서 민생, 경제, 안전, 평화, 민주주의 회복에 사력을 다하겠다고 재삼 다짐한다”고 밝혔다.이어 “우리 안의 작은 차이를 넘어 단합하고, 갈등과 분열을 넘어 국민의 저력을 하나로 모아, 위기를 극복하고 국가와 국민의 더 나은 미래를 개척해 가겠다”며 “오로지 국리민복만을 위해 경쟁하는, 진정한 의미의 정치가 복원되도록 최선을 다하겠다”고 강조했다.이 대표는 “참담한 현실 속에서도 국민께서 기대 속에 내일을 준비하실 수 있도록 희망의 불씨를 키워가겠다”며 “두려운 마음으로, 위대한 국민과 강서구민 여러분께 존경과 감사의 마음을 바친다”고 덧붙였다.
		",1,n.news.naver.com,naver
"이재명, 진교훈 당선에 &quot;국민의 매서운 회초리&quot;",https://news.imaeil.com/page/view/2023101123530058911,https://n.news.naver.com/mnews/article/088/0000840157?sid=100,이재명 더불어민주당 대표는 11일 밤 서울 강서구청장 보궐선거 진교훈 더불어민주당 후보의 당선이... 이재명 대표는 '더 겸허히 민심을 받들겠습니다'라는 제목의 글에서 &quot;국민의 위대한 승리이자 국정실패에 대한 엄중한... ,"Wed, 11 Oct 2023 23:54:00 +0900","




더불어민주당 이재명 대표가 9일 서울 강서구 발산역 인근에서 강서구청장 보궐선거 진교훈 후보 지원 유세를 하고 있다. 연합뉴스



이재명 더불어민주당 대표 페이스북이재명 더불어민주당 대표는 11일 밤 서울 강서구청장 보궐선거 진교훈 더불어민주당 후보의 당선이 확실시되자 이날 오후 11시 48분쯤 페이스북에 글을 올렸다.이는 개표율이 70%를 넘긴 가운데 김태우 국민의힘 후보가 패배를 인정하는 입장을 밝힌 뒤 올라왔다.이재명 대표는 '더 겸허히 민심을 받들겠습니다'라는 제목의 글에서 ""국민의 위대한 승리이자 국정실패에 대한 엄중한 심판이다. 민주당의 승리라 생각하지 않는다. 정치의 각성과 민생 회복을 명하는 국민의 매서운 회초리""라고 밝혔다.이어 ""한때 집권당이던 저희 민주당의 안일했음과 더 치열하지 못했음과 여전히 부족함을 다시한번 성찰하며, 국민의 공복으로서 민생, 경제, 안전, 평화, 민주주의 회복에 사력을 다하겠다고 재삼 다짐한다""고 약속했다.또 ""우리 안의 작은 차이를 넘어 단합하고, 갈등과 분열을 넘어 국민의 저력을 하나로 모아, 위기를 극복하고 국가와 국민의 더 나은 미래를 개척해 가겠다""며 ""오로지 국리민복만을 위해 경쟁하는, 진정한 의미의 정치가 복원되도록 최선을 다하겠다. 참담한 현실 속에서도 국민께서 기대속에 내일을 준비하실 수 있도록 희망의 불씨를 키워가겠다""고 덧붙였다.국리민복(國利民福)은 나라의 이익과 국민의 행복을 함께 가리키는 말이다.이재명 대표는 글 말미에 ""두려운 마음으로, 위대한 국민과 강서구민 여러분께 존경과 감사의 마음을 바친다""고 적었다.이재명 대표는 이날 오후 8시 본투표가 종료된 후 당 지도부가 모인 단체 메시지 방에 비슷한 내용의 글을 올렸다.
",1,n.news.naver.com,naver
강서 보선 압승에 이재명 “더 겸허히 민심 받들 것”,http://www.fnnews.com/news/202310120009506484,https://n.news.naver.com/mnews/article/014/0005084540?sid=100,서울 강서구청장 보궐선거에서 진교훈 더불어민주당 후보가 당선되자 이재명 대표는 “한때 집권당이던 저희 민주당의 안일했음과 더 치열하지 못했음과 여전히 부족함을 다시 한번 성찰한다”며 “국민의 공복으로서... ,"Thu, 12 Oct 2023 00:13:00 +0900","
“민주당 승리라기보단 국민의 회초리”“우리 안의 작은 차이 넘어 단합해야” 



이재명 더불어민주당 대표가 지난 9일 서울 강서구 발산역 인근에서 강서구청장 보궐선거 진교훈 후보 지원 유세를 하고 있다. 공동취재 [파이낸셜뉴스] 서울 강서구청장 보궐선거에서 진교훈 더불어민주당 후보가 당선되자 이재명 대표는 “한때 집권당이던 저희 민주당의 안일했음과 더 치열하지 못했음과 여전히 부족함을 다시 한번 성찰한다”며 “국민의 공복으로서 민생, 경제, 안전, 평화, 민주주의 회복에 사력을 다하겠다고 재삼 다짐한다”고 밝혔다.   이 대표는 11일 페이스북에 “민주당의 승리라 생각하지 않는다. 정치의 각성과 민생 회복을 명하는 국민의 매서운 회초리”라며 이같이 썼다.   앞서 진 후보는 강서구청장 보궐선거 투표가 진행된 이날 자정 개표율 72.31%를 기준으로 59.31%(10만4038표)를 얻어 36.72%(6만4405표)를 얻은 김태우 국민의힘 후보를 20%포인트가 넘는 차이로 따돌리고 당선됐다.   압도적이라 할 만한 승리 앞에 이 대표는 자세를 낮추는 모양새를 취했다. 이 대표는 “우리 안의 작은 차이를 넘어 단합하고, 갈등과 분열을 넘어 국민의 저력을 하나로 모아, 위기를 극복하고 국가와 국민의 더 나은 미래를 개척해 가겠다”고 했다.   이 대표는 이어 “오로지 국리민복만을 위해 경쟁하는, 진정한 의미의 정치가 복원되도록 최선을 다하겠다”며 “참담한 현실 속에서도 국민께서 기대 속에 내일을 준비하실 수 있도록 희망의 불씨를 키워 가겠다”고 덧붙였다.   단식 투쟁 후유증 치료를 받던 이 대표는 지난 9일 퇴원 직후 진 후보 유세장을 찾아 보궐선거 승리를 통해 윤석열 정부 퇴행을 막겠다며 지지를 호소한 바 있다.
		",1,n.news.naver.com,naver
한동훈 &quot;이재명 376회 압수수색? 저 숫자면 매일 했어야&quot;,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00009&news_seq_no=4969295,https://n.news.naver.com/mnews/article/057/0001773562?sid=102,한동훈 법무부 장관이 이재명 더불어민주당 대표에 대한 검찰의 압수수색 횟수가 376회에 달한다는 야권의... 보고받기로는 이재명 대표의 자택이나 사무실 이런 압수수색은 하지 않았던 것 같다”고 말했습니다. 이어... ,"Wed, 11 Oct 2023 20:56:00 +0900","




 11일 국회에서 열린 법제사법위원회 국정감사에 출석한 한동훈 법무장관이 의원 질의에 답하고 있다. / 사진=연합뉴스한동훈 법무부 장관이 이재명 더불어민주당 대표에 대한 검찰의 압수수색 횟수가 376회에 달한다는 야권의 주장에 대해 “저 숫자라면 매일 했었어야 한다”고 반박했습니다. 한 장관은 오늘(11일) 국회 법제사법위원회의 법무부 국정감사에서 “물리적으로 매일 압수수색을 하진 않지 않았겠냐”라며 이같이 밝혔습니다. 한 장관은 “보통 (압수수색을) 한 번 할 때 옆방 이렇게 여러 가지 하지 않느냐”며 “세는 방식에 차이는 있을 것 같은데 제가 보고받기로는 이재명 대표의 자택이나 사무실 이런 압수수색은 하지 않았던 것 같다”고 말했습니다. 이어 “어떤 범위를 어떻게 볼지에 대해 기준은 다르겠지만 376회는 물리적으로는, 그렇다면 지금도 매일 하고 있어야 되지 않겠느냐”며 “그렇지는 않을 것 같다”고 했습니다. 또한 “저 숫자가 어떤 근거에서 나온 것인지, 민주당 의원이 표를 갖고 얘기하시던데 혹시 공개해 주시면 저희가 설명할 수 있을 것 같다”고 덧붙였습니다.앞서 민주당을 비롯한 야권 인사들은 △쌍방울 그룹 대북 송금 의혹 △백현동 아파트 개발 특혜 의혹 △위증교사 의혹 등으로 이 대표에 대한 검찰의 압수수색 376회를 주장했습니다. 조정식 민주당 사무총장은 지난달 12일 이 대표의 수원지검 출석을 앞두고 열린 의원총회에서 “이번이 6번째 소환이다. 그리고 지난 1년 6개월 동안 언론에 보도돼 확인된 압수수색만 376차례 당했다”며 “박근혜 국정농단 때 특검이 압수수색한 것이 46회였다. 8배가 넘는 숫자”라고 언급한 바 있습니다. 다만 대검찰청은 검찰 수사팀이 재편된 지난해 6월 이후 법원에서 발부받아 집행한 영장을 기준으로, 이 대표 관련 압수수색 횟수는 36차례였다고 공개 반박했습니다. 대장동·위례 10회, 쌍방울 및 대북송금 11회, 변호사비 대납 5회, 백현동 5회, 성남FC 5회에 그쳤다는 입장입니다. 압수수색 376회에 달한다는 야권 측 주장에 대해서는 “경찰에서 경기도 법인카드를 무단사용한 혐의로 음식점 100여 곳의 매출전표 등을 제출받은 것을 검찰 압수수색 100여 회로, ‘대장동 김만배(화천대유 대주주) 일당과 백현동, 위례 개발비리 피의자들의 개인비리’, ‘이화영(전 경기도 평화)부지사의 개인비리’까지 모두 이재명 대표에 대한 압수수색에 포함하여 주장하는 것으로 보인다”고 설명했습니다. 
",1,n.news.naver.com,naver
"이재명, 진교훈 압승에 &quot;국정실패에 대한 엄중한 심판&quot;",https://view.asiae.co.kr/article/2023101200004071968,https://n.news.naver.com/mnews/article/277/0005324822?sid=100,"이재명 더불어민주당 대표가 11일 진교훈 후보의 서울 강서구청장 보궐선거 당선이 확실시되자, 이번 선거에 대해 &quot;국민의 위대한 승리이자 국정실패에 대한 엄중한 심판&quot;이라고 평가했다. 이 대표는 이날 진 후보가... ","Thu, 12 Oct 2023 00:00:00 +0900","
서울 강서구청장 진교훈 당선 유력李 ""국민의 위대한 승리""이재명 더불어민주당 대표가 11일 진교훈 후보의 서울 강서구청장 보궐선거 당선이 확실시되자, 이번 선거에 대해 ""국민의 위대한 승리이자 국정실패에 대한 엄중한 심판""이라고 평가했다.



더불어민주당 진교훈 강서구청장 보궐선거 후보가 11일 오후 강서구 마곡동 캠프사무실에서 당선이 확실시 되자 꽃목걸이를 걸고 기뻐하고 있다. 사진=김현민 기자 kimhyun81@이 대표는 이날 진 후보가 압도적인 표차로 국민의힘 김태우 후보를 앞서면서 당선이 유력해지자 본인의 페이스북에 '더 겸허히 민심을 받들겠습니다'라는 제목의 글을 올리고 이같이 말했다.이 대표는 ""민주당의 승리라 생각하지 않는다""며 ""정치의 각성과 민생 회복을 명하는 국민의 매서운 회초리""라고 이번 선거를 총평했다.그는 ""한때 집권당이던 민주당의 안일했음과 더 치열하지 못했음과 여전히 부족함을 다시 한번 성찰하며, 국민의 공복으로서 민생·경제·안전·평화·민주주의 회복에 사력을 다하겠다고 재삼 다짐한다""고 강조했다.이어 ""우리 안의 작은 차이를 넘어 단합하고, 갈등과 분열을 넘어 국민의 저력을 하나로 모아 위기를 극복하고 국가와 국민의 더 나은 미래를 개척해 가겠다""며 ""오로지 국리민복만을 위해 경쟁하는, 진정한 의미의 정치가 복원되도록 최선을 다하겠다""고 덧붙였다.이 대표는 ""참담한 현실 속에서도 국민께서 기대 속에 내일을 준비하실 수 있도록 희망의 불씨를 키워가겠다""면서 ""두려운 마음으로, 위대한 국민과 강서구민 여러분께 존경과 감사의 마음을 바친다""고 끝맺었다.
",1,n.news.naver.com,naver
한동훈 &quot;이재명 376회 압수수색?...그러려면 매일 했어야&quot;,https://www.ytn.co.kr/_ln/0103_202310112136382816,https://n.news.naver.com/mnews/article/052/0001945875?sid=102,"한동훈 법무부 장관은 검찰이 민주당 이재명 대표를 376차례에 걸쳐 압수수색 했다는 야권 주장에 대해, 그 숫자라면 매일 했어야 한다고 반박했습니다. 한 장관은 오늘(11일) 국회 법제사회위원회의 법무부 국정감사에서... ","Wed, 11 Oct 2023 21:36:00 +0900","
			한동훈 법무부 장관은 검찰이 민주당 이재명 대표를 376차례에 걸쳐 압수수색 했다는 야권 주장에 대해, 그 숫자라면 매일 했어야 한다고 반박했습니다.한 장관은 오늘(11일) 국회 법제사회위원회의 법무부 국정감사에서 이같이 말하면서, 물리적으로 매일 압수수색을 하진 않지 않았겠냐고 되물었습니다.또, 자신이 보고받기로는 이 대표 자택이나 사무실은 압수수색 하지 않았던 것 같다며, 민주당에서 횟수와 관련한 자료를 공개해주면 더 설명할 수 있을 것 같다고 설명했습니다.앞서 대검찰청도 검찰 수사팀이 재편된 지난해 6월 이후 법원에서 발부받아 집행한 영장을 기준으로, 이 대표 관련 압수수색 횟수는 36차례였다고 공개 반박했습니다.※ '당신의 제보가 뉴스가 됩니다'[카카오톡] YTN 검색해 채널 추가[전화] 02-398-8585[메일] social@ytn.co.kr
		",1,n.news.naver.com,naver
"법사위 국감, 한동훈 vs 野 대치…'이재명 사법리스크' 난타전",http://weekly.chosun.com/news/articleView.html?idxno=29403,https://n.news.naver.com/mnews/article/053/0000038907?sid=100,국회 법제사법위원회 국정감사가 열린 11일 이재명 사법리스크 관련해 여야가 충돌한 가운데 한동훈 법무부... 전주혜 국민의힘은 의원은 &quot;대장동 몸통은 당연히 당시 이재명 성남시장&quot;이라며 &quot;올 2월에 영장청구를 했지만... ,"Wed, 11 Oct 2023 19:05:00 +0900","




한동훈 법무부 장관이 11일 오후 서울 여의도 국회에서 열린 법제사법위원회의 법무부 등에 대한 국정감사에서 의원 질의에 답변하고 있다. photo 뉴시스국회 법제사법위원회 국정감사가 열린 11일 이재명 사법리스크 관련해 여야가 충돌한 가운데 한동훈 법무부 장관 역시 야권과 난타전을 벌였다.국감장에서 여당은 대장동·위례신도시 특혜 의혹의 몸통은 이 대표라고 공세를 펼친 반면 야당은 검찰이 무죄추정 원칙에 반하며 무리한 수사를 펼치고 있다고 맞섰다.전주혜 국민의힘은 의원은 ""대장동 몸통은 당연히 당시 이재명 성남시장""이라며 ""올 2월에 영장청구를 했지만 민주당의 체포동의안 방탄 부결로 인해서 법원의 판단을 못 받았다""고 주장했다.전 의원은 ""성남도시개발 공사에 4895억 원의 손해를 끼친 혐의로 이 대표가 기소돼 재판을 받고 있는 것""이라며 ""'대장동을 내가 설계했다'는 당시 이재명 성남시장의 말이 재판 과정에서 현명한 결론이 날 것""이라고 강조했다.이에 한 장관이 ""검찰에서 철저히 수사할 거라고 생각한다""고 답하자 민주당은 '무죄 추정의 원칙'을 거론하며 날을 세웠다.김영배 민주당 의원은 한 장관에게 ""왜 이 대표에게는 그 똑같은 원칙이 반대로 적용되는지 묻고 싶다""며 ""장관이 이 대표에 대해 '이 분은 범죄자다, 유죄다' 이런 심증을 갖고 언론에 계속 여러번 말했다""고 지적했다.또 박범계 민주당 의원이 지난달 21일 이 대표에 대한 체포동의안을 설명하면서 유죄가 확정된 것처럼 말했다는 지적을 하자 한 장관은 ""검찰 입장을 대신 말씀드리는 것""이라고 답했다.한 장관의 설명이 국회법 취지를 넘어섰다는 비판에 대해선 ""국회의원을 구속하는지 여부를 결정하는데 왜 설명을 안 듣고 결정하려고 하느냐""고 목소리를 높였다.한 장관은 또 ""구체적인 증거와 혐의 내용이 뭐고, 검찰이 어떤 입장을 가졌는지 잘 들어야 하지 않겠느냐""며 ""오히려 그것을 끝까지 못 하게 방해한 것에 대해서 (민주당이) 사과해야 한다""고 맞받았다.그러면서 ""이 대표 구속영장이 기각됐다고 곧 무죄를 의미하는 것은 아니다""라고도 강조했다.이어 야권 인사인 김경수 전 경남도지사, 안희정 전 충남도지사, 오거돈 전 부산시장, 김은경 전 환경부 장관을 거론하며 ""다 영장이 기각됐었지만 실제로 중형을 받고 수감됐다는 점을 말씀드린다""고 덧붙였다.한 장관은 ""검찰이 야당 대표를 구속하겠단 취지인데 저 정도 자신도 없어서 되겠느냐""고 반박하기도 했다.또 이날 검찰이 허위 인터뷰 보도 의혹과 관련해민주당 김병욱 의원 보좌관에 대한 압수수색을 펼친 것과 관련해 야권의 질타가 이어졌다.김의겸 민주당 의원은 ""딱 1년 전 법무부 국정감사 날 검찰이 민주당사를 압수수색 했다. 그래서 그때 국정감사가 정상적으로 진행이 되질 못했다""며 ""그런데 1년이 지난 오늘 또다시 국회에 압수수색이 들어왔다""고 말했다.김 의원은 ""야당 의원 그리고 야당 의원 보좌관들을 겨냥한 압수수색""이라며 ""왜 굳이, 국정감사 날 그렇게까지 해야 하는지 저는 도저히 제 상식으로 이해가 되지 않는다""고 질타했다.앞서 서울중앙지검 특별수사팀(팀장 강백신 부장)은 이날 오전 한 인터넷 언론사 리포액트 사무실과 이를 운영하는 허모 기자의 자택, 김병욱 민주당 의원 최모 보좌관의 국회 사무실과 주거지 등에 대한 압수수색을 실시했다.※주간조선 온라인 기사입니다.
",1,n.news.naver.com,naver
