title,original link,link,description,publication date,contents,label,base_url,source
韓 인공지능 지수 62개국 중 6위…인재 부족·투자 부진,http://www.newsis.com/view/?id=NISX20231011_0002479075&cID=13001&pID=13000,https://n.news.naver.com/mnews/article/003/0012141058?sid=101,국가별 인공지능(AI) 산업 수준을 비교한 '글로벌 AI 지수'에서 한국이 6위를 차지했다. 한국이 인공지능 3대 강국으로 도약하기 위해서는 인재 확보와 적극적인 규제 완화가 필요하다는 분석이다. 12일 한국경제인협회... ,"Thu, 12 Oct 2023 06:01:00 +0900","
美·中 양강 체제 뚜렷…韓 민간투자 부문 크게 밀려""기술 격차 줄이고 인재 확보 통해 경쟁력 제고해야""



[서울=뉴시스]글로벌 AI 지수 상위 10개 국가 및 세부 점수. (사진=한국경제인협회) 2023.10.11. photo@newsis.com  *재판매 및 DB 금지[서울=뉴시스] 동효정 기자 = 국가별 인공지능(AI) 산업 수준을 비교한 '글로벌 AI 지수'에서 한국이 6위를 차지했다. 한국이 인공지능 3대 강국으로 도약하기 위해서는 인재 확보와 적극적인 규제 완화가 필요하다는 분석이다. 12일 한국경제인협회(한경협)는 '글로벌 AI 지수'를 바탕으로 국내 AI 산업을 분석한 결과 특허(개발)·정책(정부전략) 부문은 우수하지만 인재 확보나 민간투자 등의 부문은 다소 부진하다고 평가했다. 영국 토터스인텔리전스가 발표하는 '글로벌 AI 지수'에 의하면, 우리나라의 AI 산업 수준은 62개국 중 종합순위 6위를 차지했다.글로벌 AI 지수가 높은 국가는 미국과 중국으로 나타났다. 미국은 AI 인재 확보와 인프라 구축 등 총 5개 부문에서 1위를 차지하며 종합순위 1위에 등극했다. 중국은 인재확보와 인프라 구축, 특허(개발) 등에서 2위를 차지하며 종합 2위를 차지했다. 미국과 중국의 양강체제가 뚜렷한 가운데 국내 AI 산업에서 가장 부진한 부문은 AI 관련 민간투자인 것으로 드러났다. AI 기업 수 및 투자 규모 등을 의미하는 민간투자 부문에서 한국은 18위를 차지하며 총 7개 부문 중 최저 순위를 기록했다. 민간투자 부문의 세부 항목인 AI 관련 상장기업 수에서 한국은 총 6개 기업으로 11위를 차지해 미국(172개)과 중국(161개)에 크게 밀렸다.AI 설명요구권 등 관련 정책 역시 미비한 것으로 나타나 AI 산업 육성의 기반이 될 'AI 기본법'의 조속한 입법이 필요한 것으로 지적됐다. AI 설명요구권이란 서비스 이용자가 AI의 의사결정 원리(알고리즘)에 대해 의심될 경우, 서비스 제공자에게 이에 대한 설명을 요청할 수 있는 권리 등을 말한다. 데이터 사이언티스트 및 엔지니어 등 인재 확보 부문 역시 20위를 차지하면서 인공지능 관련 데이터분석 인재가 부족한 것으로 드러났다. AI 민간투자 활성화를 위해 부족한 인재와 데이터 활용 전반의 규제에 대한 개선이 필요하다는 분석이다. 업계에서는 AI 산업은 제조업·서비스업 등 다른 산업과 연관된 파급효과가 커서 미·중과의 기술격차를 줄이고 국가경쟁력을 제고해야 한다는 주장이 나온다. 추광호 한경협 경제산업본부장은 ""국내 인재 양성은 물론 비자 규제 완화 등을 통해 해외 고급인재도 적극 영입해 인력 부족 문제를 시급히 해결해야 한다""며 ""데이터 정보 활용을 위해 개인정보보호법과 신용정보법의 규제완화를 통한 민간투자도 활성화해야 한다""고 강조했다．
",1,n.news.naver.com,naver
인공지능이 도로교통량 자동분석한다…오는 19일부터,https://www.news1.kr/articles/5195398,https://n.news.naver.com/mnews/article/421/0007102043?sid=102,오는 19일부터 도로교통량조사에서 인공지능(AI)이 폐쇄회로(CC)TV 영상데이터를 분석해 차종과 통행량을 자동으로 집계한다. 행정안전부는 19일 전국적으로 진행되는 교통량조사부터 통합데이터분석센터가 개발한... ,"Wed, 11 Oct 2023 12:00:00 +0900","
행안부, 인공지능 모델 개발…차종 12종까지 파악정확도 98.7%…조사비 절감될 듯



인공지능이 교통량을 분석하는 화면. (행안부 제공)(서울=뉴스1) 박우영 기자 = 오는 19일부터 도로교통량조사에서 인공지능(AI)이 폐쇄회로(CC)TV 영상데이터를 분석해 차종과 통행량을 자동으로 집계한다.행정안전부는 19일 전국적으로 진행되는 교통량조사부터 통합데이터분석센터가 개발한 '인공지능(AI)기반 폐쇄회로(CC)TV 교통량 조사모델'을 적용한다고 11일 밝혔다.전국 교통량조사는 국토교통부 주관으로 매년 10월 전국 고속도, 지방도 등 3900여 지점에서 24시간 동안 일제히 진행한다.그동안 고속도로와 국도는 육안검사와 검지기, 지방도와 국가지원지방도는 육안조사가 이뤄졌다. 이 같은 방법은 비용문제와 더불어 낮은 정확성에 대한 지적이 있어왔다.행안부는 지방도에 설치된 CCTV 영상 20TB(DVD 4200장 분량)로부터 17만대의 차량 이미지를 추출하고 인공지능(AI) 영상분석 학습에 활용했다. 이에 교통량 조사 기준인 12종까지 자동으로 파악할 수 있는 기반이 마련됐다.이번 AI모델은 최근 정보통신분야 제품 시험인증 기관인 한국정보통신기술협회(TTA)의 성능 인증에서 정확도 98.7% 수준을 기록했다.행안부는 이번 모델을 지자체를 비롯한 전국 교통량조사기관이 손쉽게 활용할 수 있도록 표준화 과정도 마쳤다. 분석모델을 별도로 다운받아 개별기관별로 자체 분석하는 것도 가능하다.행안부는 새로운 조사방식이 예산을 절감하고 정확성을 높일 것으로 보고있다. 현재 교통량 조사는 조사지점에 따라 40~80만원의 비용이 소요되지만, 새로운 조사방식은 인력투입 없이 CCTV 영상을 그대로 활용하므로 별도 비용이 발생하지 않는다.또한 조사자의 주관이 개입될 여지가 없고 야간과 우천시에도 안전한 조사수행이 가능하다.김준희 행안부 공공데이터국장은 ""이번 모델은 교통관련 분야에서 데이터 기반의 행정을 앞당기는 중요한 계기""라며 ""환경·안전 등 교통과 연계된 다양한 분야로 활용범위를 넓혀 나갈 것""이라고 밝혔다.
		",1,n.news.naver.com,naver
‘인공지능 CCTV’로 전국 3900곳 도로교통량 분석,http://www.fnnews.com/news/202310111759260210,https://n.news.naver.com/mnews/article/014/0005084424?sid=100,올해부터 도로교통량조사에 인공지능(AI)이 CCTV영상데이터를 분석해 차종과 통행량을 자동으로 집계하는 새로운 조사방식이 도입된다. 행정안전부는 오는 19일 전국적으로 진행되는 교통량조사부터... ,"Wed, 11 Oct 2023 18:00:00 +0900","
행안부 AI 기반 조사방식 도입이달 셋째주 목요일 일제 진행 



CCTV 교통량 조사모델 사례화면 행안부 제공 올해부터 도로교통량조사에 인공지능(AI)이 CCTV영상데이터를 분석해 차종과 통행량을 자동으로 집계하는 새로운 조사방식이 도입된다.   행정안전부는 오는 19일 전국적으로 진행되는 교통량조사부터 통합데이터분석센터가 개발한 '인공지능(AI)기반 CCTV 교통량 조사모델'을 활용한다고 11일 밝혔다.   전국 교통량조사는 도로정책 등의 기초자료로 활용하기 위해 국토교통부 주관으로 매년 10월 셋째주 목요일을 기해 전국 고속도, 지방도 등 3900여 지점에서 24시간 동안 일제히 진행된다.   그동안 고속도로와 국도는 2300여개 지점에서 촬영된 영상에 대한 육안검사와 검지기를 활용해 조사가 이뤄졌다. 지방도와 국가지원지방도 1600여 개소는 지자체를 통해 육안조사가 이뤄졌다.   육안과 검지기를 활용하면 비용문제와 함께 기상 상황 등에 따라 정확한 조사가 어려운 점 등이 문제로 제기돼 왔다.   행안부는 4월부터 통합데이터분석센터를 중심으로 지방도에 설치된 CCTV 영상 20TB(DVD 4200장 분량)로부터 17만 대의 차량 이미지를 추출하고 인공지능(AI) 영상분석 학습에 활용해 교통량 조사 기준인 12종까지 자동으로 파악할 수 있는 기반을 마련했다.   지난 9월까지 고속도로 등에 설치된 CCTV를 통해 확보된 영상이미지를 활용해 추가 학습 및 개선과정을 거쳐 최종개발을 완료했다.   행안부는 최근 정보통신분야 제품 시험인증 기관인 한국정보통신기술협회(TTA)의 성능 인증절차를 거쳤으며, 모델의 정확도는 98.7% 수준으로 나타났다.   이번 모델을 지자체를 비롯한 전국 교통량조사기관이 손쉽게 활용할 수 있도록 표준화 과정을 마쳤다. 교통량 조사기관은 조사대상 지점의 CCTV 영상 등을 행안부가 운영하는 '범정부데이터분석시스템'에 탑재된 표준모델을 활용해 분석할 수 있다.   녹화된 영상을 시스템에 업로드하고 분석버튼을 클릭하는 방식으로 분석결과를 확인할 수 있으며, 분석모델을 별도로 다운받아 개별기관별로 자체 분석도 가능하다.   행안부는 새로운 교통량 조사방식의 도입이 업무효율성 향상은 물론 예산 절감과 관련 정책의 타당성을 높이는 데에도 기여할 것으로 내다봤다.   김준희 공공데이터국장은 ""인공지능(AI)기반의 새로운 교통량 조사방식은 교통관련 분야에서 데이터 기반의 행정을 앞당기는 중요한 계기""라며 ""환경·안전 등 교통과 연계된 다양한 분야로 활용범위를 넓혀 나갈 것""이라고 밝혔다.  
",1,n.news.naver.com,naver
"도로 교통량, 이젠 인공지능이 측정한다",https://www.khan.co.kr/national/national-general/article/202310111201001,https://n.news.naver.com/mnews/article/032/0003254090?sid=102,전국 도로의 교통량 조사에 인공지능 기술이 도입된다. 육안과 수작업에 의존하던 기존에 비해 예산은 절감되고 정확도는 높아질 것으로 당국은 기대한다. 행정안전부는 통합데이터분석센터가 개발한 ‘인공지능(AI)... ,"Wed, 11 Oct 2023 12:02:00 +0900","




인공지능(AI)기반 CCTV 교통량 조사모델 화면. 행정안전부 제공전국 도로의 교통량 조사에 인공지능 기술이 도입된다. 육안과 수작업에 의존하던 기존에 비해 예산은 절감되고 정확도는 높아질 것으로 당국은 기대한다.행정안전부는 통합데이터분석센터가 개발한 ‘인공지능(AI)기반 CCTV 교통량 조사모델’의 성능인증을 마치고 오는 19일 실시되는 전국 교통량 조사에 활용할 예정이라고 11일 밝혔다.전국 교통량조사는 도로정책 등의 기초자료로 활용하기 위해 국토교통부 주관으로 매년 10월 셋째주 목요일을 기해 전국 고속도, 지방도 등 3900여 지점에서 24시간 동안 일제히 진행된다.기존에는 영상에 대한 육안 검사와 검지기를 통한 조사 방식으로 조사가 진행돼 왔다. 비용문제와 함께 기상 상황 등에 따라 정확한 조사가 어렵다는 점이 문제로 지적돼 왔다.새 모델은 정확도가 98.7% 수준에 달하며, 교통량 조사기준 12종의 차량 정확히 구분한다고 행안부는 밝혔다. 기존 육안조사 방식과 비교 시 정확도·편의성 모두 크게 높아져, 전국에서 확대 사용될 것으로 전망했다.행안부는 새로운 교통량 조사방식의 도입이 업무효율성 향상은 물론 예산 절감과 관련 정책의 타당성을 높이는 데에도 기여할 것이라며, 지자체 특성에 맞는 교통정책 개발과 도로관리, 미세먼지 저감정책 마련에도 활용할 수 있을 것으로 기대된다고 밝혔다.
		",1,n.news.naver.com,naver
전국 도로교통량 조사에 인공지능(AI) 본격 활용,https://www.nocutnews.co.kr/news/6026131,https://n.news.naver.com/mnews/article/079/0003821648?sid=102,올해부터 도로교통량조사에 인공지능(AI)이 CCTV영상데이터를 분석해 차종과 통행량을 자동으로 집계하는 새로운 조사방식이 도입된다. 행정안전부는 오는 19일 전국적으로 진행되는 교통량조사부터... ,"Wed, 11 Oct 2023 12:02:00 +0900","
정확도 98.7% 수준으로 교통량 조사기준 12종 차량 정확히 구분



연합뉴스 올해부터 도로교통량조사에 인공지능(AI)이 CCTV영상데이터를 분석해 차종과 통행량을 자동으로 집계하는 새로운 조사방식이 도입된다. 행정안전부는 오는 19일 전국적으로 진행되는 교통량조사부터 통합데이터분석센터가 개발한 '인공지능(AI)기반 CCTV 교통량 조사모델'을 활용한다고 밝혔다.전국 교통량조사는 도로정책 등의 기초자료로 활용하기 위해 국토교통부 주관으로 매년 10월 셋째주 목요일을 기해 전국 고속도, 지방도 등 3900여 지점에서 24시간 동안 일제히 진행된다.그동안 고속도로와 국도는 2300여개 지점에서 촬영된 영상에 대한 육안검사와 검지기를 활용해 조사가 이뤄졌으며, 지방도와 국가지원지방도 1600여 개소는 지자체를 통해 육안조사가 이루어졌다.육안과 검지기를 활용하면 비용문제와 함께 기상 상황 등에 따라 정확한 조사가 어려운 점 등이 문제로 제기됐었다. 이에, 행안부는 4월부터 통합데이터분석센터가 중심이 되어 지방도에 설치된 CCTV 영상 20TB(DVD 4200장 분량)로부터 17만 대의 차량 이미지를 추출하고 인공지능(AI) 영상분석 학습에 활용해 교통량 조사 기준인 12종까지 자동으로 파악할 수 있는 기반을 마련했다.최근 정보통신분야 제품 시험인증 기관인 한국정보통신기술협회(TTA)의 성능 인증절차를 거쳤으며, 모델의 정확도는 98.7% 수준으로 나타났다.녹화된 영상을 시스템에 업로드하고 분석버튼을 클릭하는 방식으로 분석결과를 확인할 수 있으며, 분석모델을 별도로 다운받아 개별기관별로 자체 분석도 가능하다. 현재 교통량 조사는 조사지점에 따라 40~80만 원의 비용이 소요되지만, 새로운 조사방식은 인력투입 없이 CCTV 영상을 그대로 활용하므로 별도 비용이 발생하지 않는다.김준희 행안부 공공데이터국장은 ""인공지능(AI)기반의 새로운 교통량 조사방식은 교통관련 분야에서 데이터 기반의 행정을 앞당기는 중요한 계기""라며 ""환경·안전 등 교통과 연계된 다양한 분야로 활용범위를 넓혀 나갈 것""이라고 밝혔다.※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : jebo@cbs.co.kr카카오톡 : @노컷뉴스사이트 : https://url.kr/b71afn
",1,n.news.naver.com,naver
"개인정보위, ‘인공지능 사전적정성 검토’ 시범운영",https://www.hani.co.kr/arti/economy/economy_general/1111641.html,https://n.news.naver.com/mnews/article/028/0002659774?sid=101,"인공지능 등 신기술을 접목해 사업을 기획하는 이들이 데이터 사용, 개인정보 보호 등과 관련해 법을 위반하지 않을까 싶어 느끼는 불확실성을 줄이기 위해서 개인정보보호위원회가 ‘사전적정성 검토’에 나선다.... ","Wed, 11 Oct 2023 12:03:00 +0900","




고학수 개인정보보호위원장이 지난 8월3일 오전 서울 종로구 정부청사 합동브리핑실에서 ‘인공지능 시대 안전한 개인정보 활용 정책방향’에 대해 설명하고 있다. 개인정보위 제공인공지능 등 신기술을 접목해 사업을 기획하는 이들이 데이터 사용, 개인정보 보호 등과 관련해 법을 위반하지 않을까 싶어 느끼는 불확실성을 줄이기 위해서 개인정보보호위원회가 ‘사전적정성 검토’에 나선다. 다음달 13일부터 시범실시한 뒤 사례와 의견을 모아 내년 1월 본격 시행을 할 계획이다, 개인정보위는 인공지능 등 신서비스·신기술에서의 안전한 데이터 활용을 돕기 위해 ‘사전적정성 검토제’를 다음달 13일부터 시범운영한다고 11일 밝혔다. 사전적정성 검토제는 인공지능 기술을 활용하려는 기업들이 데이터를 이런 식으로 써도 될까 등 법 위반 여부를 우려하는 경우에 대해 개인정보위가 사전에 협의에 나서 불확실성을 최소화하는 제도다. 지난 8월 ‘인공지능 시대 안전한 개인정보 활용 정책 방향’을 발표했던 개인정보위는 앞으로 ‘사전적정성 검토제’를 통해 사업자가 신서비스 및 신기술 분야에서 개인정보 보호법을 준수하는 방안을 개인정보위와 함께 마련하고, 이를 사업자가 적정히 적용하였다면 추후 환경 변화가 없는 한 행정처분을 하지 않을 예정이라고 밝혔다. 다음달 13일부터 시범운영을 한 뒤 그 결과를 반영해 내년 1월부터 본격 시행한다는 계획이다.신청을 원하는 사업자는 개인정보위 누리집(www.pipc.go.kr)에서 신청서 양식을 내려받은 후 작성해 전자우편(adequacy@korea.kr)으로 제출하면 된다. 고학수 개인정보보호위원장은 “사전적정성 검토제는 새싹기업(스타트업)·예비 창업자를 포함한 사업자들이 인공지능 등 신기술을 활용할 때 우려되는 법적 불확실성을 최소화할 수 있는 제도적 장치”라며 “사회 전반적으로 신뢰할 수 있는 개인정보 보호 환경을 조성함과 동시에 혁신적 서비스의 성장을 촉진하는 효과가 있을 것으로 기대한다”고 말했다.
",1,n.news.naver.com,naver
전국 도로교통량 조사에 인공지능(AI) 본격 활용,https://news.mtn.co.kr/news-detail/2023101112154224486,https://news.mtn.co.kr/news-detail/2023101112154224486,올해부터 도로교통량조사에 인공지능(AI)이 CCTV영상데이터를 분석해 차종과 통행량을 자동으로 집계하는 새로운 조사방식이 도입된다.행정안전부는 19일 전국적으로 진행되는 교통량조사부터 통합데이터분석센터가... ,"Wed, 11 Oct 2023 12:24:00 +0900",,1,news.mtn.co.kr,mtn
"KT대경고객본부-교촌에프앤비, 인공지능·디지털 플랫폼 서비스 도입 협약",http://www.kyongbuk.co.kr/news/articleView.html?idxno=2144267,http://www.kyongbuk.co.kr/news/articleView.html?idxno=2144267,KT 대구경북고객본부는 경기 오산 교촌치킨 본사에서 교촌에프앤비㈜ 가맹영업본부와 인공지능(AI)과 디지털 전환(DX) 분야 협력을 위한 업무협약을 체결하고 기념사진을 찍고 있다. KT 대구경북고객본부는 경기 오산... ,"Wed, 11 Oct 2023 21:20:00 +0900",,1,www.kyongbuk.co.kr,kyongbuk
인간 중심의 ‘착한 인공지능’으로 길들이자,https://www.seoul.co.kr/news/newsView.php?id=20231012014003&wlog_tag3=naver,https://n.news.naver.com/mnews/article/081/0003399712?sid=105,"“인공지능(AI)은 결국 인간을 배제할 것인가, 인간과 협력할 것인가.” 미국 스탠퍼드대가 2019년 설립한 인간중심 AI연구소(Human-Centered AI Institute·HAI)는 인간과 협력해 인간의 삶을 개선하는 AI 연구를 목표로... ","Thu, 12 Oct 2023 05:04:00 +0900","
랜데이 美스탠퍼드대 교수AI가 인류 이롭게 할 방향 모색잠재적 영향 인식만으로 불충분



제임스 랜데이 미국 스탠퍼드대 컴퓨터 공학과 교수“인공지능(AI)은 결국 인간을 배제할 것인가, 인간과 협력할 것인가.”미국 스탠퍼드대가 2019년 설립한 인간중심 AI연구소(Human-Centered AI Institute·HAI)는 인간과 협력해 인간의 삶을 개선하는 AI 연구를 목표로 하고 있다. 연구소가 매년 발간하는 ‘스탠퍼드 인공지능 연례보고서’는 세계적으로 널리 인용될 정도로 영향력이 크다.AI 관련 연구를 선도하는 세계적 연구기관인 HAI의 부소장 제임스 랜데이 미국 스탠퍼드대 컴퓨터 공학과 교수가 오는 25일 열리는 ‘서울 미래컨퍼런스’의 기조 강연 연사로 나선다. 랜데이 교수는 ‘딥러닝(컴퓨터가 사람처럼 학습)의 대모’라 불리는 페이페이 리 교수와 함께 HAI를 공동 설립한 후 AI가 사회 전반에 이롭게 쓰일 방향에 대해 연구해 주목받았다.이번 컨퍼런스의 기조 강연 주제 ‘착한 인공지능의 한계: 인간중심 인공지능을 향하여’에서도 랜데이 교수는 진정한 인간 중심의 AI 기술을 구현할 수 있는 방향에 관해 설명한다. 그는 기존의 ‘착한 인공지능’은 AI 시스템이 인간과 사회에 미치는 잠재적 영향을 인식하고 있지만 단순히 이러한 영향을 인식하는 것만으로는 충분하지 않다고 지적한다. 인간 중심 AI 개발을 위해서는 사용자, 커뮤니티, 사회가 중심이 돼야 한다고 주장한다. AI 알고리즘이 공개된 뒤 뒤늦게 문제점을 찾아내는 방식만으로는 부족하며 애초 AI 개발과 기획 단계에서 커뮤니티 구성원뿐만 아니라 사회과학·인문학, 의학 또는 법학 전문가와 기술자들이 조기에 참여해야 한다는 주장이다.랜데이 교수는 미국 버클리 캘리포니아대(UC버클리) 전기공학 컴퓨터과학 학사, 카네기멜런대에서 컴퓨터과학 석박사 학위를 취득했다. 코넬 공대, 워싱턴대, UC버클리 등에서 정교수로 재직했다. 미국컴퓨터학회(ACM)의 SIGCHI(Special Interest Group on Computer-Human Interaction)의 아카데미 회원이자 석학회원이다. 미국립과학재단(NSF) 컴퓨터 정보과학 공학 자문 위원회에서 6년간 활동했다.
		",1,n.news.naver.com,naver
전국 도로교통량 조사에 인공지능(AI) 본격 활용…이달 19일부터,http://www.newspim.com/news/view/20231011000733,http://www.newspim.com/news/view/20231011000733,올해부터 도로교통량조사에 인공지능(AI)이 CCTV영상데이터를 분석해 차종과 통행량을 자동으로 집계하는 새로운 조사방식이 도입된다. CCTV 교통량 조사모델 사례/행정안전부 제공 2023.10.11 kboyu@newspim.com... ,"Wed, 11 Oct 2023 12:51:00 +0900","
행안부,인공지능(AI)교통량 조사모델 성능인증 완료
정확도 98.7% 수준…12종 차량 정확히 구분 [세종=뉴스핌] 김보영 기자 = 올해부터 도로교통량조사에 인공지능(AI)이 CCTV영상데이터를 분석해 차종과 통행량을 자동으로 집계하는 새로운 조사방식이 도입된다.






CCTV 교통량 조사모델 사례/행정안전부 제공 2023.10.11 kboyu@newspim.com



행정안전부는 오는 19일 전국적으로 진행되는 교통량조사부터 통합데이터분석센터가 개발한 '인공지능(AI)기반 CCTV 교통량 조사모델'을 활용한다고 11일 밝혔다.
전국 교통량조사는 도로정책 등의 기초자료로 활용하기 위해 국토교통부 주관으로 매년 10월 셋째주 목요일을 기해 전국 고속도, 지방도 등 3900여 지점에서 24시간 동안 일제히 진행된다.
그동안 고속도로와 국도는 2300여개 지점에서 촬영된 영상에 대한 육안검사와 검지기를 활용해 조사가 이뤄졌다. 지방도와 국가지원지방도 1600여개소는 지자체를 통해 육안조사를 해왔다.
그러나 인력 투입과 함께 조사 지점에 따라 40만~80만원의 비용이 소요됐고 기상 상황 등에 따라서는 정확한 조사가 어려운 문제가 있었다.
이에 행안부는 4월부터 통합데이터분석센터를 중심으로 지방도에 설치된 CCTV 영상 20TB(DVD 4200장 분량)로부터 17만대의 차량 이미지를 추출하고 인공지능(AI) 영상분석 학습에 활용해 교통량 조사 기준인 12종까지 자동으로 파악할 수 있는 기반을 마련했다. 정확도는 98.7% 수준이다.
특히 녹화된 영상을 시스템에 업로드하고 분석버튼을 클릭하는 방식으로 분석결과를 확인할 수 있으며 분석모델을 별도로 다운받아 개별기관별로 자체 분석도 가능하다.  또한 조사자의 주관이 개입될 여지가 없어 정확성이 더욱 높고 야간과 우천시에도 안전한 조사수행이 가능하다.
김준희 행안부 공공데이터국장은 ""인공지능(AI)기반의 새로운 교통량 조사방식은 교통관련 분야에서 데이터 기반의 행정을 앞당기는 중요한 계기""라며 ""환경·안전 등 교통과 연계된 다양한 분야로 활용범위를 넓혀 나갈 것""이라고 말했다.
kboyu@newspim.com
",1,www.newspim.com,newspim
